mode,run,seed,hft_frac,n_ticks,shock_tick,shock_dp,speed_multiplier,vstar_postshock,calendar_post_volume,total_executed_volume,total_executed_trades,post_rv,pre_rv,post_rv_per_volume,post_rv_per_trade,post_vol_per_sqrt_volume,equal_volume_vol_ratio,post_window_volume,pre_window_volume,post_window_trades,pre_window_trades,post_window_ticks,pre_window_ticks,target_post_volume,post_volume_error,calendar_style_vol_ratio,spread_ratio,mm_stress_ratio,avg_sub_iters,threshold_hit_rate,book_depleted_rate
event_time,22,2200231,0.0,500,200,-10,2,12.0,3589.0,9497.0,3189.0,0.10973708337126,0.0908648512805693,3.0431803486206328e-05,8.856907455307508e-05,0.0003928268378967,1.209705053974241,3606.0,3612.0,1239.0,1165.0,198,179,3589.0,17.0,1.137878945143744,0.9963756156111626,1.0,1.684,1.0,0.0
calendar,23,2300231,0.0,500,200,-10,2,,3841.0,6731.0,2142.0,0.0724654100392075,0.0138584724689575,1.8910597609396553e-05,6.003762223629461e-05,0.0002517640432859,3.943552640213889,3832.0,2890.0,1207.0,931.0,299,200,3841.0,-9.0,2.416472902936442,2.123054280254979,0.9533333333333334,1.0,1.0,0.0
event_time,23,2300231,0.0,500,200,-10,2,13.0,3841.0,10257.0,3412.0,0.037982226498363,0.048713193964476,9.857831948705684e-06,2.748352134469103e-05,0.0002250279843862,0.7811277645764626,3853.0,3860.0,1382.0,1164.0,195,181,3841.0,12.0,1.2574269102531603,1.0746019476138695,1.0,1.706,1.0,0.0
calendar,24,2400231,0.0,500,200,-10,2,,3218.0,6336.0,2064.0,0.0574735767281193,0.1754681860358441,1.787669571636683e-05,5.072689914220597e-05,0.0002448394140242,0.3176617796788303,3215.0,3118.0,1133.0,930.0,299,200,3218.0,-3.0,0.7926444102803949,0.6433572323401215,1.0,1.0,1.0,0.0
event_time,24,2400231,0.0,500,200,-10,2,11.0,3218.0,9242.0,2991.0,0.0320501809024655,0.2480401349871067,9.938040589911808e-06,2.91896000933202e-05,0.0002309246909004,0.1292938200024817,3225.0,3227.0,1098.0,963.0,187,166,3218.0,7.0,0.4736819154837374,0.5857186082834888,1.0,1.444,1.0,0.0
calendar,25,2500231,0.0,500,200,-10,2,,3759.0,6801.0,2231.0,0.0522429181308051,0.0173602021472993,1.39091901306723e-05,4.179433450464413e-05,0.0002158945356149,2.43728434751369,3756.0,3042.0,1250.0,979.0,299,200,3759.0,-3.0,1.8017287377477311,1.899035330817052,1.0,1.0,1.0,0.0
event_time,25,2500231,0.0,500,200,-10,2,13.0,3759.0,10113.0,3318.0,0.0513636280747798,0.0363098974067929,1.359185712484252e-05,4.135557816004822e-05,0.0002674061730366,1.425071353667567,3779.0,3807.0,1242.0,1251.0,191,184,3759.0,20.0,1.230013437309863,1.1381509706954458,1.0,1.686,1.0,0.0
calendar,26,2600231,0.0,500,200,-10,2,,3645.0,6289.0,2145.0,0.0378465496659277,0.0232237415521756,1.0420305524759838e-05,3.117508209713981e-05,0.0001869072765634,1.1863413399120175,3632.0,2644.0,1214.0,925.0,299,200,3645.0,-13.0,1.5046919584040686,1.571841646089256,1.0,1.0,1.0,0.0
event_time,26,2600231,0.0,500,200,-10,2,12.0,3645.0,10134.0,3219.0,0.7212384913144693,0.3591103648897266,0.0001977079197682,0.0005887661153587,0.0010121179191147,2.007852867999158,3648.0,3647.0,1225.0,1071.0,193,169,3645.0,3.0,0.7760295963965845,0.9665282249788294,1.0,1.538,1.0,0.0
calendar,27,2700231,0.0,500,200,-10,2,,4049.0,6453.0,2163.0,0.142892667854568,0.0167970670707713,3.5360719587866385e-05,0.0001130479967203,0.0003444670001081,5.060833380305356,4041.0,2404.0,1264.0,897.0,299,200,4049.0,-8.0,3.0033638096082553,2.6650019488627628,1.0,1.0,1.0,0.0
event_time,27,2700231,0.0,500,200,-10,2,13.0,4049.0,10282.0,3576.0,0.0296574108137068,0.0148447079136206,7.3011843460627425e-06,2.049579185466957e-05,0.0001900815811177,2.006696535758827,4062.0,4080.0,1447.0,1425.0,203,191,4049.0,13.0,2.2328338921666235,3.156447072382824,0.9866666666666668,1.704,1.0,0.0
calendar,28,2800231,0.0,500,200,-10,2,,4165.0,6787.0,2146.0,0.6390022087515078,0.027017231749216,0.0001537911453072,0.0005067424335856,0.000718082009793,14.92530202962392,4155.0,2622.0,1261.0,880.0,299,200,4165.0,-10.0,3.5495681482736807,3.159760520106079,1.0,1.0,1.0,0.0
event_time,28,2800231,0.0,500,200,-10,2,14.0,4165.0,10421.0,3617.0,0.0246682672786659,0.0359611901084688,5.8860098493595635e-06,1.6746956740438513e-05,0.0001693080151616,0.6828592204142989,4191.0,4172.0,1473.0,1452.0,204,199,4165.0,26.0,1.4613193923384002,1.4575286666247125,1.0,1.732,1.0,0.0
calendar,29,2900231,0.0,500,200,-10,2,,4049.0,6754.0,2185.0,0.464437526747567,0.0355101370043402,0.0001150737182228,0.0003703648538656,0.0006207459492725,8.765789443262342,4036.0,2705.0,1254.0,925.0,299,200,4049.0,-13.0,3.2910177035481043,2.4809365780402453,1.0,1.0,1.0,0.0
event_time,29,2900231,0.0,500,200,-10,2,13.0,4049.0,9730.0,3429.0,0.054245124586635,0.0508994578443802,1.3357578080924673e-05,3.896919869729532e-05,0.000256331368672,1.0090457937371695,4061.0,3845.0,1392.0,1354.0,204,200,4049.0,12.0,1.1496654070025472,1.176790764282395,1.0,1.768,1.0,0.0
calendar,30,3000231,0.0,500,200,-10,2,,3504.0,6284.0,2059.0,0.0425684237766845,0.0181855576193113,1.2179806516934051e-05,3.625930475015717e-05,0.0002019757730359,1.861909194635481,3495.0,2780.0,1174.0,880.0,299,199,3504.0,-9.0,1.427552472971884,1.2447705270070488,1.0,1.0,1.0,0.0
event_time,30,3000231,0.0,500,200,-10,2,12.0,3504.0,10744.0,3257.0,0.0263815356619423,0.0477368082892783,7.499015253536761e-06,2.29804317612738e-05,0.0002055967275563,0.5515458942948102,3518.0,3511.0,1148.0,908.0,177,141,3504.0,14.0,1.2133215687766272,1.4010348197532416,1.0,1.592,1.0,0.0
