mode,regime,volume_threshold,hft_frac,run,seed,n_iter,shock_it,shock_dp,speed_multiplier,info_lag,softlimit,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio,avg_sub_iters,max_sub_iters_observed,threshold_hit_rate,executed_volume_total,book_depleted_rate,calendar_volume_per_tick_target,vstar_to_calendar_tick_ratio
calendar,calendar,,0.3,4,40302,500,200,-10,2,0,100,3.105699130212953,4.350214412857634,0.17691477885652648,3,1.0,1.0,1,1.0,7809,0.0,12.914933333333332,
calendar,calendar,,0.3,5,50302,500,200,-10,2,0,100,6.759841951229325,6.759994445454276,0.2996545768566494,110,1.0,1.0,1,1.0,7580,0.0,12.914933333333332,
calendar,calendar,,0.3,6,60302,500,200,-10,2,0,100,5.491096237511819,4.660579090232432,0.17965367965367973,15,1.0,1.0,1,1.0,7547,0.0,12.914933333333332,
calendar,calendar,,0.3,7,70302,500,200,-10,2,0,100,3.191942243478959,2.8470144574072114,0.1954674220963173,15,0.9933333333333333,1.0,1,1.0,7850,0.0,12.914933333333332,
calendar,calendar,,0.3,8,80302,500,200,-10,2,0,100,1.4622980621027795,1.4719480910864247,0.10352187833511209,8,1.0,1.0,1,1.0,6987,0.0,12.914933333333332,
calendar,calendar,,0.3,9,90302,500,200,-10,2,0,100,1.9498087800407293,2.3793369135322826,0.12499999999999994,12,0.9733333333333334,1.0,1,1.0,7162,0.0,12.914933333333332,
calendar,calendar,,0.3,10,100302,500,200,-10,2,0,100,4.160230213867923,5.548288806142888,0.10750507099391475,24,1.0,1.0,1,1.0,7717,0.0,12.914933333333332,
calendar,calendar,,0.3,11,110302,500,200,-10,2,0,100,2.2923959223782937,1.6961801422808034,0.16510318949343336,138,1.0,1.0,1,1.0,7110,0.0,12.914933333333332,
calendar,calendar,,0.3,12,120302,500,200,-10,2,0,100,1.6238944943427895,1.6655847810512858,0.09351145038167936,14,0.9766666666666667,1.0,1,1.0,7442,0.0,12.914933333333332,
calendar,calendar,,0.3,13,130302,500,200,-10,2,0,100,1.246105205754331,1.1190353357045169,0.09951690821256036,16,1.0,1.0,1,1.0,7417,0.0,12.914933333333332,
calendar,calendar,,0.3,14,140302,500,200,-10,2,0,100,1.198459773738145,1.455661248818442,0.23954372623574147,42,1.0,1.0,1,1.0,7544,0.0,12.914933333333332,
calendar,calendar,,0.3,15,150302,500,200,-10,2,0,100,2.047829837151453,2.371968938342654,0.1909492273730684,8,1.0,1.0,1,1.0,7597,0.0,12.914933333333332,
calendar,calendar,,0.3,16,160302,500,200,-10,2,0,100,1.5002250039524696,1.1632564334345838,0.17062634989200862,17,1.0,1.0,1,1.0,7167,0.0,12.914933333333332,
calendar,calendar,,0.3,17,170302,500,200,-10,2,0,100,4.244285487833986,3.715771041769254,0.15444770283479958,27,1.0,1.0,1,1.0,7121,0.0,12.914933333333332,
calendar,calendar,,0.3,18,180302,500,200,-10,2,0,100,1.3077569913663007,1.452812042685417,0.1661631419939577,108,1.0,1.0,1,1.0,6936,0.0,12.914933333333332,
calendar,calendar,,0.3,19,190302,500,200,-10,2,0,100,1.358224722343657,1.6459650277669078,0.1075581395348838,6,1.0,1.0,1,1.0,7878,0.0,12.914933333333332,
calendar,calendar,,0.3,20,200302,500,200,-10,2,0,100,1.0177676320254292,0.8333076934905344,0.11516853932584267,24,1.0,1.0,1,1.0,7035,0.0,12.914933333333332,
calendar,calendar,,0.3,21,210302,500,200,-10,2,0,100,3.6864380812437743,3.949229247238928,0.23238696109358564,35,1.0,1.0,1,1.0,7109,0.0,12.914933333333332,
calendar,calendar,,0.3,22,220302,500,200,-10,2,0,100,3.319630697718223,3.7874478640894944,0.16799999999999998,20,0.96,1.0,1,1.0,8620,0.0,12.914933333333332,
calendar,calendar,,0.3,23,230302,500,200,-10,2,0,100,3.7949035587478837,5.630827537520531,0.1318897637795275,20,0.88,1.0,1,1.0,9103,0.0,12.914933333333332,
calendar,calendar,,0.3,24,240302,500,200,-10,2,0,100,0.6599836249473002,0.7081610016124606,0.10337972166998004,95,0.0,1.0,1,1.0,8195,0.0,12.914933333333332,
calendar,calendar,,0.3,25,250302,500,200,-10,2,0,100,2.9885701174875496,3.0654119837646863,0.2066115702479339,3,1.0,1.0,1,1.0,7933,0.0,12.914933333333332,
calendar,calendar,,0.3,26,260302,500,200,-10,2,0,100,2.489703937646099,2.6537808350797922,0.18924508790072386,25,1.0,1.0,1,1.0,7169,0.0,12.914933333333332,
calendar,calendar,,0.3,27,270302,500,200,-10,2,0,100,1.3210082913853296,1.7690385360207863,0.19826652221018415,20,1.0,1.0,1,1.0,7305,0.0,12.914933333333332,
calendar,calendar,,0.3,28,280302,500,200,-10,2,0,100,1.2091319541072336,0.699048842420901,0.18067226890756302,23,1.0,1.0,1,1.0,7523,0.0,12.914933333333332,
calendar,calendar,,0.3,29,290302,500,200,-10,2,0,100,1.6131445609354953,1.830758412168948,0.12022900763358774,33,0.84,1.0,1,1.0,8092,0.0,12.914933333333332,
calendar,calendar,,0.4,0,402,500,200,-10,2,0,100,3.520108263835969,3.7830692151457987,0.23391812865497078,6,1.0,1.0,1,1.0,8191,0.0,12.914933333333332,
calendar,calendar,,0.4,1,10402,500,200,-10,2,0,100,3.7446985719867203,4.748175211718928,0.21858500527983107,23,1.0,1.0,1,1.0,8781,0.0,12.914933333333332,
calendar,calendar,,0.4,2,20402,500,200,-10,2,0,100,2.632483167132513,3.042830554938548,0.2979127134724858,15,1.0,1.0,1,1.0,7428,0.0,12.914933333333332,
calendar,calendar,,0.4,3,30402,500,200,-10,2,0,100,1.3060227603560353,1.2038169908027645,0.10692464358452138,5,1.0,1.0,1,1.0,7887,0.0,12.914933333333332,
calendar,calendar,,0.4,4,40402,500,200,-10,2,0,100,6.148814525962201,5.233689743682186,0.3131749460043196,11,1.0,1.0,1,1.0,8321,0.0,12.914933333333332,
calendar,calendar,,0.4,5,50402,500,200,-10,2,0,100,2.0999206702853925,2.302445564530281,0.1700819672131147,11,1.0,1.0,1,1.0,7621,0.0,12.914933333333332,
calendar,calendar,,0.4,6,60402,500,200,-10,2,0,100,2.2001772654436813,1.3959143630638426,0.29567779960707263,18,1.0,1.0,1,1.0,8369,0.0,12.914933333333332,
calendar,calendar,,0.4,7,70402,500,200,-10,2,0,100,2.1645831784785776,2.2076761417349804,0.18311291963377416,9,1.0,1.0,1,1.0,7860,0.0,12.914933333333332,
calendar,calendar,,0.4,8,80402,500,200,-10,2,0,100,2.058078595970071,2.435927323117844,0.23239436619718318,41,1.0,1.0,1,1.0,7438,0.0,12.914933333333332,
calendar,calendar,,0.4,9,90402,500,200,-10,2,0,100,2.720652546624306,2.8079100681229026,0.14705882352941177,14,0.97,1.0,1,1.0,8736,0.0,12.914933333333332,
calendar,calendar,,0.4,10,100402,500,200,-10,2,0,100,5.678657479050018,4.82992583910951,0.20722433460076042,23,0.9833333333333333,1.0,1,1.0,8106,0.0,12.914933333333332,
calendar,calendar,,0.4,11,110402,500,200,-10,2,0,100,2.502831471451686,3.0133234882589015,0.17408906882591096,7,1.0,1.0,1,1.0,8385,0.0,12.914933333333332,
calendar,calendar,,0.4,12,120402,500,200,-10,2,0,100,4.315172757582547,4.658416923118162,0.1462053571428571,22,0.9166666666666666,1.0,1,1.0,8361,0.0,12.914933333333332,
