hft_frac,info_lag,softlimit,baseline_lag,baseline_softlimit,interaction_acf_abs_ret_1,baseline_acf_abs_ret_1,delay_only_acf_abs_ret_1,liquidity_only_acf_abs_ret_1,combined_acf_abs_ret_1,interaction_acf_abs_ret_5,baseline_acf_abs_ret_5,delay_only_acf_abs_ret_5,liquidity_only_acf_abs_ret_5,combined_acf_abs_ret_5,interaction_vol_persistence,baseline_vol_persistence,delay_only_vol_persistence,liquidity_only_vol_persistence,combined_vol_persistence,interaction_high_vol_cluster_share,baseline_high_vol_cluster_share,delay_only_high_vol_cluster_share,liquidity_only_high_vol_cluster_share,combined_high_vol_cluster_share,interaction_vol_ratio,baseline_vol_ratio,delay_only_vol_ratio,liquidity_only_vol_ratio,combined_vol_ratio
0.6,1,20,0,100,-0.029368496487131024,0.29699215832120396,0.35753027643584645,0.3293653037933976,0.3605349254209091,-0.02053147295713767,0.1615794437224294,0.17737551499922186,0.19597323289964255,0.19123783121929733,-0.0014253442397765825,0.960825122735682,0.9644731588676312,0.9636432563240337,0.9658659482162063,-0.03567447045707922,0.48093645484949826,0.5586399108138238,0.3134894091415831,0.3555183946488294,-0.14609540517785025,2.7942413589835966,3.140548220755341,1.7673836772198757,1.9675951338137698
0.6,1,50,0,100,-0.023704411382308166,0.29699215832120396,0.35753027643584645,0.2826855225932455,0.3195192293255798,0.025252943460270322,0.1615794437224294,0.17737551499922186,0.10891662737804204,0.1499656421151048,0.00123234168061781,0.960825122735682,0.9644731588676312,0.9564041853637572,0.9612845631763242,-0.08963210702341134,0.48093645484949826,0.5586399108138238,0.39520624303233,0.3832775919732442,-0.3750054897300781,2.7942413589835966,3.140548220755341,2.1548833265193528,2.126184698561019
0.6,3,20,0,100,-0.037642357883426625,0.29699215832120396,0.2993409056595782,0.3293653037933976,0.29407169324834526,-0.03221831417126281,0.1615794437224294,0.18369967080014377,0.19597323289964255,0.1858751458060941,0.0007506422375920252,0.960825122735682,0.9617911144519175,0.9636432563240337,0.9653598902778612,0.020624303232998797,0.48093645484949826,0.5195094760312152,0.3134894091415831,0.37268673355629883,-0.2076212514478617,2.7942413589835966,3.215462090779914,1.7673836772198757,1.980983157568331
0.6,3,50,0,100,0.046004469837006956,0.29699215832120396,0.2993409056595782,0.2826855225932455,0.3310387397686267,0.0509284703438843,0.1615794437224294,0.18369967080014377,0.10891662737804204,0.1819653247996407,0.007554655694875012,0.960825122735682,0.9617911144519175,0.9564041853637572,0.9649248327748676,-0.07959866220735795,0.48093645484949826,0.5195094760312152,0.39520624303233,0.354180602006689,-0.4514124060967708,2.7942413589835966,3.215462090779914,2.1548833265193528,2.124691652218899
0.6,5,20,0,100,-0.0238500480488818,0.29699215832120396,0.3328634914671502,0.3293653037933976,0.3413865888904621,-0.042944904116053007,0.1615794437224294,0.1988898213987131,0.19597323289964255,0.19033870645987325,-0.004642998360880113,0.960825122735682,0.9665869779280023,0.9636432563240337,0.9647621131554739,-0.023857302118171442,0.48093645484949826,0.561426978818283,0.3134894091415831,0.3701226309921963,-0.3618297699702233,2.7942413589835966,3.2064590331626364,1.7673836772198757,1.817771581428692
0.6,5,50,0,100,0.021533508596611406,0.29699215832120396,0.3328634914671502,0.2826855225932455,0.34009036433580314,0.04255793740275217,0.1615794437224294,0.1988898213987131,0.10891662737804204,0.18878494245707791,0.001796203655717199,0.960825122735682,0.9665869779280023,0.9564041853637572,0.9639622442117947,-0.017279821627647518,0.48093645484949826,0.561426978818283,0.39520624303233,0.45841694537346717,-0.09545584256335227,2.7942413589835966,3.2064590331626364,2.1548833265193528,2.4716451581350403
0.6,10,20,0,100,-0.025135502095708973,0.29699215832120396,0.2909177055593047,0.3293653037933976,0.2981553489357894,-0.00032592905783312975,0.1615794437224294,0.16103501490941008,0.19597323289964255,0.1951028750287901,0.003909718449485289,0.960825122735682,0.9614015897729921,0.9636432563240337,0.968129441810829,0.02207357859531761,0.48093645484949826,0.543701226309922,0.3134894091415831,0.39832775919732444,-0.04045620281189466,2.7942413589835966,3.1576652141239405,1.7673836772198757,2.090351329548325
0.6,10,50,0,100,0.05154304706338636,0.29699215832120396,0.2909177055593047,0.2826855225932455,0.32815411689473256,0.08634060332757089,0.1615794437224294,0.16103501490941008,0.10891662737804204,0.1947128018925936,0.008890415557540887,0.960825122735682,0.9614015897729921,0.9564041853637572,0.9658710679586081,-0.01125975473801566,0.48093645484949826,0.543701226309922,0.39520624303233,0.4467112597547381,0.061541850797822484,2.7942413589835966,3.1576652141239405,2.1548833265193528,2.579849032457519
0.8,1,20,0,100,0.026424593939782304,0.2894430853437397,0.29425931338801287,0.2694621163870494,0.3007029383711049,-0.016793079640695485,0.14910494240148162,0.15119723029707796,0.17309438664648746,0.15839359490138832,-0.0016691321844860552,0.958160778484891,0.9596110329009676,0.9605574967643637,0.9603386189959543,0.08952062430323299,0.5232998885172797,0.43110367892976587,0.3337792642140468,0.33110367892976594,0.6604757929164977,3.263839761163304,2.487285875329356,2.004907682213606,1.8888295892961555
0.8,1,50,0,100,0.012404650489992897,0.2894430853437397,0.29425931338801287,0.30290216005770626,0.32012303859197233,-0.0025091208449673774,0.14910494240148162,0.15119723029707796,0.1514523213269118,0.15103548837754077,0.0027776468457128,0.958160778484891,0.9596110329009676,0.9589541939108421,0.9631820951726315,0.16298773690078028,0.5232998885172797,0.43110367892976587,0.36599777034559644,0.4367892976588629,0.9467275637111605,3.263839761163304,2.487285875329356,2.053467964611988,2.2236416424892007
0.8,3,20,0,100,0.026986560924968095,0.2894430853437397,0.3014925878034567,0.2694621163870494,0.30849817977173455,-0.03215096801800582,0.14910494240148162,0.18458893873936172,0.17309438664648746,0.17642741496636175,-0.00010242692831752276,0.958160778484891,0.9607910323163636,0.9605574967643637,0.9630853236675189,0.005797101449275255,0.5232998885172797,0.5612040133779264,0.3337792642140468,0.37748049052396876,0.16328180808782644,3.263839761163304,3.2247336819923196,2.004907682213606,2.129083411130448
0.8,3,50,0,100,-0.026561508187528893,0.2894430853437397,0.3014925878034567,0.30290216005770626,0.2883901543298944,-0.017503115626248983,0.14910494240148162,0.18458893873936172,0.1514523213269118,0.16943320203854292,-0.003378730584961298,0.958160778484891,0.9607910323163636,0.9589541939108421,0.9582057171573535,0.018952062430323213,0.5232998885172797,0.5612040133779264,0.36599777034559644,0.42285395763656636,0.2930481794880291,3.263839761163304,3.2247336819923196,2.053467964611988,2.307410064929033
