mode,regime,volume_threshold,hft_frac,run,seed,n_ticks,shock_tick,shock_dp,speed_multiplier,softlimit,n_random,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_stress_ratio,avg_sub_iters,max_sub_iters_observed,threshold_hit_rate,executed_volume_total,book_depleted_rate,calendar_volume_per_tick_target,vstar_to_calendar_tick_ratio
calendar,calendar,,0.1,12,120052,500,200,-10,2,100,5,2.1206551147297104,2.9562786873981315,0.18133047210300435,1,0.0,1.0,1,1.0,7254,0.0,12.591199999999997,
calendar,calendar,,0.1,13,130052,500,200,-10,2,100,5,2.8624714931128517,2.9065129191246064,0.23182711198428285,53,0.0,1.0,1,1.0,7131,0.0,12.591199999999997,
calendar,calendar,,0.1,14,140052,500,200,-10,2,100,5,2.038134384313374,1.7999021186404724,0.1843460350154479,24,0.0,1.0,1,1.0,6535,0.0,12.591199999999997,
calendar,calendar,,0.1,15,150052,500,200,-10,2,100,5,1.315158361403409,1.54400272433825,0.12487100103199182,7,0.0,1.0,1,1.0,6648,0.0,12.591199999999997,
calendar,calendar,,0.1,16,160052,500,200,-10,2,100,5,1.7710036488842482,2.438996514950699,0.13641364136413647,138,0.0,1.0,1,1.0,5848,0.0,12.591199999999997,
calendar,calendar,,0.1,17,170052,500,200,-10,2,100,5,2.2650842349383096,2.918073997681347,0.16682926829268288,73,0.0,1.0,1,1.0,6474,0.0,12.591199999999997,
calendar,calendar,,0.1,18,180052,500,200,-10,2,100,5,3.235329305832507,5.3889450354154365,0.13550420168067231,12,0.0,1.0,1,1.0,7347,0.0,12.591199999999997,
calendar,calendar,,0.1,19,190052,500,200,-10,2,100,5,1.412561289330383,1.687696901710866,0.28075396825396826,300,0.0,1.0,1,1.0,6577,0.0,12.591199999999997,
calendar,calendar,,0.1,20,200052,500,200,-10,2,100,5,2.0738885475328575,1.6189511640301282,0.09400921658986178,19,0.0,1.0,1,1.0,6484,0.0,12.591199999999997,
calendar,calendar,,0.1,21,210052,500,200,-10,2,100,5,0.931387914851222,0.9620077986531593,0.12909836065573765,7,0.0,1.0,1,1.0,6386,0.0,12.591199999999997,
calendar,calendar,,0.1,22,220052,500,200,-10,2,100,5,5.507599064425694,5.946994093708342,0.18255578093306288,52,0.0,1.0,1,1.0,7638,0.0,12.591199999999997,
calendar,calendar,,0.1,23,230052,500,200,-10,2,100,5,1.5541040401428419,1.4903193604571134,0.15021929824561406,2,0.0,1.0,1,1.0,7660,0.0,12.591199999999997,
calendar,calendar,,0.1,24,240052,500,200,-10,2,100,5,2.99027254703298,3.0472774179082935,0.17128205128205132,15,0.0,1.0,1,1.0,7310,0.0,12.591199999999997,
