run,seed,hft_frac,info_lag,book_volume,speed_mult,softlimit,n_iter,shock_it,shock_dp,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio,stabilization_price,stabilization_price_ratio,stabilization_gap,acf_abs_ret_1,acf_abs_ret_5,vol_persistence,high_vol_cluster_share
26,26020320,0.2,0,300,2,100,500,200,-10,1.1027560898530837,1.0996966160553685,0.1378600823045268,9,1.0,99.402,1.0226543209876542,-0.0226543209876541,0.3065451311669806,0.078861522798419,0.9625657748608416,0.1505016722408027
27,27020320,0.2,0,300,2,100,500,200,-10,6.971489787150604,6.870800818965907,0.1047120418848167,17,0.9066666666666666,99.286,1.0396439790575915,-0.0396439790575915,0.3290921712185141,0.0794551187703304,0.9638257943104732,0.8561872909698997
28,28020320,0.2,0,300,2,100,500,200,-10,1.9523136314894616,1.3839334621891166,0.3806818181818182,13,1.0,97.174,1.10425,-0.1042499999999999,0.3886402546331911,0.3163271341519706,0.9735716575092892,0.2040133779264214
29,29020320,0.2,0,300,2,100,500,200,-10,1.5651811757148342,0.918777431873578,0.179902755267423,99,1.0,109.72400000000002,0.8891734197730957,0.1108265802269042,0.4738188702490285,0.2948452979944732,0.9721700304305764,0.2274247491638795
30,30020320,0.2,0,300,2,100,500,200,-10,6.196600122345364,4.654481102419569,0.0886203423967774,1,1.0,109.83,1.1060422960725076,-0.1060422960725075,0.2349218809852599,0.0852954246175834,0.9559209884336416,0.6588628762541806
31,31020320,0.2,0,300,2,100,500,200,-10,0.9510676978849786,0.8280533373148937,0.3525179856115107,21,1.0,82.78200000000001,0.8507913669064749,0.149208633093525,0.3421804837081056,0.2133938512993093,0.9643588047287326,0.0668896321070234
32,32020320,0.2,0,300,2,100,500,200,-10,3.0876306617321365,2.38973598260649,0.2489959839357429,24,0.99,108.742,1.0917871485943775,-0.0917871485943775,0.2789595256866636,0.0799990444829334,0.9534107971500924,0.5484949832775919
33,33020320,0.2,0,300,2,100,500,200,-10,1.0404905632320047,1.244393106952842,0.1053097345132743,14,1.0,132.582,1.17329203539823,-0.1732920353982301,0.3943543856258673,0.138506767835485,0.962821376763728,0.0568561872909698
34,34020320,0.2,0,300,2,100,500,200,-10,4.385373777905949,6.5187141452717965,0.1993637327677624,21,1.0,93.292,0.9893107104984094,0.0106892895015906,0.1900965046426918,0.215406340169074,0.9653268387179332,0.9364548494983278
35,35020320,0.2,0,300,2,100,500,200,-10,1.7494114991022076,1.8975798505389725,0.1084112149532709,19,1.0,107.814,1.007607476635514,-0.0076074766355138,0.2986823363897064,0.3400675409718525,0.9678797578057594,0.5551839464882943
