mode,run,seed,hft_frac,speed_mult,info_lag,book_volume,softlimit,n_ticks,shock_tick,calendar_target_ticks,target_total_volume,target_shock_volume,total_executed_volume,post_volume,volume_match_error,volume_per_tick,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio,realized_vol_per_volume,shock_triggered
calendar,19,1900222,0.0,2,0,1000,100,500,200,500,7287.0,3250.0,7287.0,4037.0,0.0,14.574,1.9648464282869418,2.671685229587927,0.11503531786074664,34,0.0,0.00024068493208584152,True
event_time,19,1900222,0.0,2,0,1000,100,527,201,500,7287.0,3250.0,7292.0,4011.0,5.0,13.836812144212523,2.2664564055516987,3.398800334378867,0.10909090909090906,29,0.0,0.0002798876946393544,True
calendar,20,2000222,0.0,2,0,1000,100,500,200,500,6373.0,2560.0,6373.0,3813.0,0.0,12.746,2.2272955756936152,1.7735508278142427,0.11291963377416067,9,0.0,0.0004736755556539999,True
event_time,20,2000222,0.0,2,0,1000,100,551,203,500,6373.0,2560.0,6395.0,3790.0,22.0,11.60617059891107,1.0630833464457872,0.9950622424307384,0.09035532994923863,9,0.0,0.00015539811132624277,True
calendar,21,2100222,0.0,2,0,1000,100,500,200,500,6580.0,2725.0,6580.0,3855.0,0.0,13.16,3.155980130928312,2.8389395174489054,0.19113300492610844,14,0.0,0.0005375290636807181,True
event_time,21,2100222,0.0,2,0,1000,100,504,201,500,6580.0,2725.0,6589.0,3839.0,9.0,13.073412698412698,1.5797002707860388,1.9918696156627267,0.14243614931237722,14,0.0,0.00023938361147512788,True
calendar,22,2200222,0.0,2,0,1000,100,500,200,500,6454.0,2652.0,6454.0,3802.0,0.0,12.908,1.6787210245585806,1.4712896062082341,0.17089201877934274,192,0.0,0.0002719340031139847,True
event_time,22,2200222,0.0,2,0,1000,100,487,201,500,6454.0,2652.0,6459.0,3787.0,5.0,13.262833675564682,1.79662157806041,1.988906056717132,0.12207527975584945,2,0.0,0.000308523805989293,True
calendar,23,2300222,0.0,2,0,1000,100,500,200,500,6106.0,2964.0,6106.0,3142.0,0.0,12.212,0.5906202239152789,0.6353100455604201,0.10674157303370786,2,0.0,0.00025491569031171175,True
event_time,23,2300222,0.0,2,0,1000,100,464,202,500,6106.0,2964.0,6106.0,3123.0,0.0,13.15948275862069,1.1544949552212314,1.1735032829074434,0.12527964205816558,2,0.0,0.00045806216998732046,True
calendar,24,2400222,0.0,2,0,1000,100,500,200,500,6348.0,2527.0,6348.0,3821.0,0.0,12.696,1.628880366100037,1.605712290640419,0.14660831509846833,8,0.0,0.00043402508317292525,True
event_time,24,2400222,0.0,2,0,1000,100,500,201,500,6348.0,2527.0,6348.0,3799.0,0.0,12.696,1.6204687851497213,1.6130651086026857,0.13907284768211914,7,0.0,0.0004308762132347175,True
calendar,25,2500222,0.0,2,0,1000,100,500,200,500,6467.0,2393.0,6467.0,4074.0,0.0,12.934,2.3665494489770564,3.094519363850459,0.16909294512877934,37,0.0,0.00046371284108890606,True
event_time,25,2500222,0.0,2,0,1000,100,501,201,500,6467.0,2393.0,6483.0,4078.0,16.0,12.940119760479043,2.35811510574725,3.0732526543671805,0.17555555555555552,30,0.0,0.000463607892254937,True
calendar,26,2600222,0.0,2,0,1000,100,500,200,500,7317.0,3208.0,7317.0,4109.0,0.0,14.634,11.842883147219268,17.256291444899993,0.13191489361702133,15,0.0,0.0004377087474662206,True
event_time,26,2600222,0.0,2,0,1000,100,547,204,500,7317.0,3208.0,7334.0,4105.0,17.0,13.407678244972578,6.953693584288235,10.515207456947932,0.10520722635494147,18,0.0,0.0001907256483437424,True
calendar,27,2700222,0.0,2,0,1000,100,500,200,500,7386.0,3472.0,7386.0,3914.0,0.0,14.772,2.6298344674190544,4.139535954951052,0.10954446854663784,23,0.0,0.00029655287556008846,True
event_time,27,2700222,0.0,2,0,1000,100,519,202,500,7386.0,3472.0,7387.0,3894.0,1.0,14.233140655105974,2.2070810126390357,3.4107590989501917,0.10857763300760044,34,0.0,0.0002452832190754534,True
calendar,28,2800222,0.0,2,0,1000,100,500,200,500,6530.0,2385.0,6530.0,4145.0,0.0,13.06,4.399091399546418,4.200473172893588,0.17475728155339806,32,0.0,0.00043410895121426013,True
event_time,28,2800222,0.0,2,0,1000,100,530,201,500,6530.0,2385.0,6534.0,4124.0,4.0,12.328301886792453,4.72540823229957,3.2164926836442223,0.1758989310009719,31,0.0,0.0004952619065073314,True
calendar,29,2900222,0.0,2,0,1000,100,500,200,500,6404.0,2407.0,6404.0,3997.0,0.0,12.808,2.1126936250154666,2.3955328433602974,0.10426540284360189,26,0.0,0.00018985572825870798,True
event_time,29,2900222,0.0,2,0,1000,100,466,203,500,6404.0,2407.0,6419.0,3977.0,15.0,13.774678111587983,6.9880277085488895,7.224832330972387,0.2111215834118755,39,0.0,0.0007252259989193415,True
calendar,30,3000222,0.0,2,0,1000,100,500,200,500,6231.0,2586.0,6231.0,3645.0,0.0,12.462,1.6123694718455404,2.5191703850878278,0.08914728682170545,16,0.0,0.00019019995548632016,True
event_time,30,3000222,0.0,2,0,1000,100,493,202,500,6231.0,2586.0,6239.0,3623.0,8.0,12.655172413793103,2.6036232103445416,3.43054196567692,0.11100478468899516,22,0.0,0.0003505976271353325,True
calendar,31,3100222,0.0,2,0,1000,100,500,200,500,6661.0,2504.0,6661.0,4157.0,0.0,13.322,2.9278273992441437,3.072016501347793,0.2570869990224829,46,0.0,0.0006810588576202297,True
event_time,31,3100222,0.0,2,0,1000,100,514,203,500,6661.0,2504.0,6667.0,4120.0,6.0,12.970817120622568,1.8709741680611958,2.2680773492251958,0.19471624266144819,44,0.0,0.0004509408375116216,True
calendar,32,3200222,0.0,2,0,1000,100,500,200,500,5936.0,2777.0,5936.0,3159.0,0.0,11.872,1.1698968066666655,1.5850400418919484,0.09795479009687845,3,0.0,0.00019584782069615014,True
event_time,32,3200222,0.0,2,0,1000,100,480,201,500,5936.0,2777.0,5950.0,3135.0,14.0,12.395833333333334,1.6459686370320599,1.952182352191714,0.13859275053304904,3,0.0,0.000303045395309071,True
calendar,33,3300222,0.0,2,0,1000,100,500,200,500,6478.0,2290.0,6478.0,4188.0,0.0,12.956,5.4847340037045695,5.719870164575523,0.251566696508505,16,0.0,0.000907458197896353,True
event_time,33,3300222,0.0,2,0,1000,100,524,204,500,6478.0,2290.0,6494.0,4178.0,16.0,12.393129770992367,2.4460707092317575,2.2750906988678183,0.10989010989010989,14,0.0,0.00032746000150713297,True
calendar,34,3400222,0.0,2,0,1000,100,500,200,500,6272.0,2452.0,6272.0,3820.0,0.0,12.544,1.6352348119892073,1.6622608069042888,0.10743801652892554,14,0.0,0.00017131524487952156,True
event_time,34,3400222,0.0,2,0,1000,100,499,203,500,6272.0,2452.0,6295.0,3815.0,23.0,12.615230460921843,1.864281322041736,1.670580422743478,0.17820773930753564,16,0.0,0.0002131947544526071,True
calendar,35,3500222,0.0,2,0,1000,100,500,200,500,5564.0,2197.0,5564.0,3367.0,0.0,11.128,1.9299279134482774,1.7538001708715976,0.1348314606741573,21,0.0,0.0003432084659659378,True
event_time,35,3500222,0.0,2,0,1000,100,471,202,500,5564.0,2197.0,5564.0,3351.0,0.0,11.813163481953291,2.719326705863487,2.1992827994165696,0.13416009019165734,16,0.0,0.00042918288183178713,True
calendar,36,3600222,0.0,2,0,1000,100,500,200,500,6474.0,2519.0,6474.0,3955.0,0.0,12.948,2.471653529747493,2.389125174175972,0.1774744027303755,18,0.0,0.0004551376845829544,True
event_time,36,3600222,0.0,2,0,1000,100,496,202,500,6474.0,2519.0,6477.0,3937.0,3.0,13.058467741935484,3.0971239242483994,2.897627611172509,0.21112372304199767,16,0.0,0.0007068828850801917,True
calendar,37,3700222,0.0,2,0,1000,100,500,200,500,6173.0,2649.0,6173.0,3524.0,0.0,12.346,0.9265896219263918,0.7819241300668129,0.10671936758893277,4,0.0,0.00018974451660074885,True
event_time,37,3700222,0.0,2,0,1000,100,484,204,500,6173.0,2649.0,6177.0,3519.0,4.0,12.762396694214877,0.9171381922738738,0.9921738104885904,0.10344827586206896,9,0.0,0.0002351710813682986,True
calendar,38,3800222,0.0,2,0,1000,100,500,200,500,6723.0,2972.0,6723.0,3751.0,0.0,13.446,0.7045474281292323,0.6300954036439924,0.10124164278892081,14,0.0,0.00018505195535234274,True
event_time,38,3800222,0.0,2,0,1000,100,532,202,500,6723.0,2972.0,6730.0,3719.0,7.0,12.650375939849624,0.49710314685544976,0.5195937524509627,0.10227272727272725,21,0.0,0.0001435136230718722,True
calendar,39,3900222,0.0,2,0,1000,100,500,200,500,6876.0,2696.0,6876.0,4180.0,0.0,13.752,3.2712876316563677,4.422556625932658,0.24455958549222792,69,0.0,0.0006347015777706782,True
event_time,39,3900222,0.0,2,0,1000,100,563,203,500,6876.0,2696.0,6886.0,4168.0,10.0,12.230905861456483,1.2033040686647252,1.2471019997546544,0.15995872033023734,21,0.0,0.00019283138124671543,True
calendar,40,4000222,0.0,2,0,1000,100,500,200,500,6506.0,2740.0,6506.0,3766.0,0.0,13.012,2.220477551338135,2.668938410191294,0.20340586565752128,23,0.0,0.0005462918207225445,True
event_time,40,4000222,0.0,2,0,1000,100,523,204,500,6506.0,2740.0,6509.0,3725.0,3.0,12.445506692160611,1.4662253186502987,2.3325487157163574,0.18809073724007555,47,0.0,0.0003338332418017683,True
calendar,41,4100222,0.0,2,0,1000,100,500,200,500,6030.0,2854.0,6030.0,3176.0,0.0,12.06,0.695214611161886,0.9585337297170099,0.19537815126050428,15,0.0,0.00018918110868308504,True
event_time,41,4100222,0.0,2,0,1000,100,477,203,500,6030.0,2854.0,6032.0,3151.0,2.0,12.645702306079665,1.0950898394456732,1.1979866030714483,0.14973821989528793,12,0.0,0.0002965178270726321,True
calendar,42,4200222,0.0,2,0,1000,100,500,200,500,6243.0,2622.0,6243.0,3621.0,0.0,12.486,1.2922507006634947,1.183664391201851,0.14269662921348317,22,0.0,0.0002599675700020556,True
event_time,42,4200222,0.0,2,0,1000,100,472,202,500,6243.0,2622.0,6247.0,3578.0,4.0,13.235169491525424,1.5046173187379939,1.5332918319181847,0.14236902050113895,41,0.0,0.0003191194257523579,True
calendar,43,4300222,0.0,2,0,1000,100,500,200,500,6083.0,2528.0,6083.0,3555.0,0.0,12.166,0.907588694978233,0.8741711286942888,0.12684365781710918,23,0.0,0.00020940105872168966,True
event_time,43,4300222,0.0,2,0,1000,100,496,203,500,6083.0,2528.0,6091.0,3548.0,8.0,12.28024193548387,1.4639003690522203,1.2683218885191216,0.2088546679499519,29,0.0,0.00040702723855451,True
calendar,44,4400222,0.0,2,0,1000,100,500,200,500,6633.0,3290.0,6633.0,3343.0,0.0,13.266,0.9613014813656912,1.6797509502271075,0.1542610571736785,3,0.0,0.0002191719599700818,True
