regime,mode,volume_threshold,hft_frac,n_runs,vol_ratio_mean,vol_ratio_std,vol_ratio_ci_low,vol_ratio_ci_high,spread_ratio_mean,spread_ratio_std,spread_ratio_ci_low,spread_ratio_ci_high,max_drawdown_mean,max_drawdown_std,max_drawdown_ci_low,max_drawdown_ci_high,recovery_time_mean,recovery_time_std,recovery_time_ci_low,recovery_time_ci_high,mm_stress_ratio_mean,mm_stress_ratio_std,mm_stress_ratio_ci_low,mm_stress_ratio_ci_high,avg_sub_iters_mean,avg_sub_iters_std,avg_sub_iters_ci_low,avg_sub_iters_ci_high,threshold_hit_rate_mean,threshold_hit_rate_std,threshold_hit_rate_ci_low,threshold_hit_rate_ci_high,executed_volume_total_mean,executed_volume_total_std,executed_volume_total_ci_low,executed_volume_total_ci_high,book_depleted_rate_mean,book_depleted_rate_std,book_depleted_rate_ci_low,book_depleted_rate_ci_high,calendar_volume_per_tick_target_mean,calendar_volume_per_tick_target_std,calendar_volume_per_tick_target_ci_low,calendar_volume_per_tick_target_ci_high,vstar_to_calendar_tick_ratio_mean,vstar_to_calendar_tick_ratio_std,vstar_to_calendar_tick_ratio_ci_low,vstar_to_calendar_tick_ratio_ci_high
calendar,calendar,,1.0,30,2.837014746717346,1.3835268875556224,2.4157507353366134,3.365879535881047,2.88258749193951,2.0442035412798867,2.2391350606208054,3.662705149977908,0.31421632161926966,0.14325322544094815,0.2674089504940627,0.3651982882998046,45.8,61.92063886331745,27.496666666666666,71.4375,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,10024.466666666667,593.3583980241176,9840.0275,10241.166666666666,0.0,0.0,0.0,0.0,,,,,,,,
event_time_V100,event_time,100.0,0.0,30,1.3865868067199045,0.519814383978482,1.1980581896938798,1.560705892914745,1.3425346623419636,0.45268463065841325,1.1747111799772274,1.495680858447115,0.22564472180484685,0.11545871427875379,0.18485870688495665,0.2650200935170492,6.866666666666666,11.370661987016785,3.9324999999999997,11.167499999999999,0.0,0.0,0.0,0.0,10.32146666666667,1.026059880397299,10.063668333333334,10.750178333333333,0.9954000000000001,0.025195237645237643,0.9862,1.0,53001.46666666667,1380.0734546501085,52437.33833333333,53300.72749999999,0.004600000000000001,0.025195237645237643,0.0,0.013800000000000002,,,,,,,,
event_time_V100,event_time,100.0,0.1,30,1.4785405785605228,0.6920829717523173,1.229637678223698,1.713370116295372,1.3769425254904284,0.5714387307247429,1.1668012040303226,1.572475867657066,0.297699086717772,0.13978170284342692,0.2493507997309151,0.3458013101999337,10.633333333333333,23.404219091103375,4.566666666666666,20.27416666666666,0.0,0.0,0.0,0.0,9.823066666666666,1.6647584257458958,9.445998333333334,10.467949999999998,0.9924666666666667,0.041261765998722506,0.9774,1.0,53044.13333333333,2214.405388132107,52204.93083333333,53515.583333333336,0.007466666666666667,0.040896617627052406,0.0,0.0224,,,,,,,,
event_time_V100,event_time,100.0,0.2,30,1.5445876091245303,0.7007201936196837,1.2992701418794148,1.8061223155562471,1.5003204586042058,0.8697214291834702,1.2206846029494047,1.834937648105493,0.32062962879989,0.13320861625497019,0.2721229169877739,0.36662986334620556,25.6,74.82098175207825,5.166666666666667,55.17166666666666,0.0,0.0,0.0,0.0,9.487933333333332,2.3394617408245018,8.874144999999997,10.483061666666664,0.9867333333333334,0.056550211642235344,0.9605333333333335,1.0,52938.2,3017.341572563047,51604.74,53684.74,0.013133333333333334,0.056097657049441745,0.0,0.0392,,,,,,,,
event_time_V100,event_time,100.0,0.3,30,1.6280870297329346,0.887079762978355,1.332962576565892,1.9561327686982806,1.474929796614919,0.6412542748002747,1.2711384927290892,1.7207421463563897,0.37021941312250756,0.1947227813256996,0.3053328062013279,0.4415346839719027,10.733333333333333,24.388993183519222,4.566666666666666,20.46833333333333,0.0,0.0,0.0,0.0,9.861266666666666,4.4649843026586895,8.64393,11.620771666666666,0.9665333333333332,0.1092064584844351,0.9229316666666667,0.9964683333333334,52070.933333333334,5817.882248505143,49787.485,53678.137500000004,0.03306666666666667,0.10870108756025218,0.0032,0.076405,,,,,,,,
event_time_V100,event_time,100.0,0.4,30,1.4410347230319829,0.7805376840007555,1.1800246882494774,1.7230788947205598,1.4168580915651916,0.6501027296302868,1.1957588403313821,1.6531172107712044,0.41063038862563594,0.23409244654761457,0.3328128767071733,0.49278995795039277,19.4,55.07649852391829,6.065833333333333,40.84333333333333,0.0,0.0,0.0,0.0,10.932400000000001,6.186640342789815,9.020355,13.310141666666668,0.9317333333333334,0.15034464620889615,0.87346,0.9773483333333334,50355.4,8048.88087144782,47257.9525,52817.089166666665,0.06766666666666667,0.1496884887964366,0.022321666666666667,0.125605,,,,,,,,
event_time_V100,event_time,100.0,0.5,30,1.5955553938012583,1.047825531732536,1.2402502950560015,1.9775446436846493,2.3092404537324254,3.099368426454495,1.5463050368699143,3.5782140104902624,0.5443791933988411,0.2772310169893508,0.4479940969436155,0.6434661091277185,30.2,76.91302746026481,8.065833333333334,59.20916666666666,0.0,0.0,0.0,0.0,15.839933333333333,7.618272199504762,13.357536666666668,18.484371666666664,0.805,0.1826711762175129,0.7424583333333333,0.8648849999999999,43741.5,9813.685085036908,40353.06166666666,46928.02,0.1937333333333333,0.18207215949828193,0.13411,0.25620333333333334,,,,,,,,
event_time_V100,event_time,100.0,0.6,30,1.4862496792792679,1.3265679099091552,1.048680176480192,1.9815666798654312,1.874482201316842,0.9556912709721777,1.5543757576893993,2.24784215657752,0.47440295102809155,0.28964010033912424,0.3729927522591143,0.5778924980132047,47.7,96.97320995138742,16.895,83.20166666666667,0.0,0.0,0.0,0.0,17.656866666666666,11.125703755294527,14.039096666666666,21.758126666666666,0.7575333333333334,0.2629533501741632,0.6601799999999999,0.8435333333333334,41272.0,14206.3575107815,35990.863333333335,45901.36916666667,0.2411333333333333,0.2623704584576251,0.15539833333333336,0.33822333333333343,,,,,,,,
event_time_V100,event_time,100.0,0.7,30,1.333025374347202,1.4769617863533981,0.8663835834129637,1.9356591386367106,2.506595812692487,1.8833264689533262,1.9112184864410042,3.239112002543838,0.534782792023803,0.34611692606753675,0.41203012596624033,0.6465339104275151,46.2,101.64183227867115,15.295833333333334,84.81666666666665,0.0,0.0,0.0,0.0,21.06953333333333,10.648046408916368,17.405296666666665,24.933600000000002,0.6722666666666667,0.25006798156161225,0.5815166666666667,0.7574799999999999,36774.666666666664,13582.835581600095,31858.21,41397.26666666666,0.32599999999999996,0.2498937705340494,0.24091333333333337,0.4167533333333332,,,,,,,,
event_time_V100,event_time,100.0,0.8,30,0.7464558310766644,0.6774602740152379,0.5129245323832891,0.9767975631734379,2.6438347519234067,1.4981336522720898,2.0694495675187143,3.3478533225486546,0.3648224155121151,0.3391144609272784,0.2406273813523208,0.47769530150027945,35.266666666666666,90.70791826947419,6.099166666666666,67.13916666666663,0.0,0.0,0.0,0.0,26.511266666666675,10.117818757479075,22.907111666666665,30.119608333333336,0.5410666666666667,0.2368900419055706,0.45646499999999995,0.6258050000000001,29793.1,12859.23376370673,25191.655,34371.597499999996,0.4571333333333333,0.23652173966325662,0.3723983333333333,0.5416016666666666,,,,,,,,
