shock_dp,fast_share,run,crisis_share,mm_panic_ratio
-10,0.2,0,0.7586206896551724,0.98
-10,0.2,1,0.7241379310344828,1.0
-10,0.2,2,0.7931034482758621,1.0
-10,0.2,3,0.6551724137931034,1.0
-10,0.2,4,0.6896551724137931,1.0
-10,0.4,0,0.8275862068965517,1.0
-10,0.4,1,0.8275862068965517,1.0
-10,0.4,2,0.8275862068965517,0.98
-10,0.4,3,0.8620689655172413,1.0
-10,0.4,4,0.7586206896551724,1.0
-10,0.6,0,0.7586206896551724,0.9033333333333333
-10,0.6,1,0.7586206896551724,0.99
-10,0.6,2,0.896551724137931,1.0
-10,0.6,3,0.896551724137931,1.0
-10,0.6,4,0.7931034482758621,1.0
-10,0.8,0,0.7586206896551724,0.6866666666666666
-10,0.8,1,0.6551724137931034,1.0
-10,0.8,2,0.8275862068965517,1.0
-10,0.8,3,0.7931034482758621,1.0
-10,0.8,4,0.7931034482758621,1.0
-10,1.0,0,0.9310344827586207,1.0
-10,1.0,1,0.8275862068965517,0.9766666666666667
-10,1.0,2,0.7241379310344828,1.0
-10,1.0,3,0.7586206896551724,1.0
-10,1.0,4,0.8275862068965517,1.0
