run,seed,hft_frac,info_lag,softlimit,speed_mult,n_iter,shock_it,shock_dp,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio,acf_abs_ret_1,acf_abs_ret_5,vol_persistence,high_vol_cluster_share
6,602022,0.2,0,20,2,500,200,-10,2.3760769866221345,2.1780268555274103,0.20276953511374876,30,1.0,0.2867727155477204,0.18252524044939641,0.9569773672152311,0.6555183946488294
7,702022,0.2,0,20,2,500,200,-10,1.9163946125702793,1.2478704452805893,0.2,23,1.0,0.47280424776484314,0.43891714428175654,0.9824140239208374,0.24749163879598662
8,802022,0.2,0,20,2,500,200,-10,0.7570598805088401,0.8051670182178551,0.14240506329113925,19,1.0,0.33867360948116626,0.35652106620465324,0.973212046041024,0.15384615384615385
9,902022,0.2,0,20,2,500,200,-10,4.86187968081142,4.942381972658921,0.2454448017148981,19,1.0,0.3798678765173779,0.20162437748755593,0.964574591280777,0.7157190635451505
10,1002022,0.2,0,20,2,500,200,-10,1.0566675978382307,1.1130512827300914,0.25954198473282447,34,1.0,0.39836937181203025,0.44813839448365095,0.9885140572890517,0.13377926421404682
11,1102022,0.2,0,20,2,500,200,-10,2.076798151057327,2.064453635472805,0.2190669371196754,7,1.0,0.35291915566375986,0.17655490943399574,0.9738692086393165,0.5250836120401338
12,1202022,0.2,0,20,2,500,200,-10,2.9406287499399184,2.1943783933659518,0.28684807256235834,17,1.0,0.1746309973640442,0.10668899234777078,0.9536881782835004,0.5652173913043478
13,1302022,0.2,0,20,2,500,200,-10,2.0576883128947236,1.8921503933336425,0.1570576540755467,7,1.0,0.35643369514629725,0.202372968421077,0.9632268071741796,0.44481605351170567
14,1402022,0.2,0,20,2,500,200,-10,1.0193496115214473,1.1210512317512331,0.12247191011235961,11,1.0,0.4134785208119912,0.3887731501071687,0.9650405217678297,0.14046822742474915
15,1502022,0.2,0,20,2,500,200,-10,1.3003694046870022,1.5045030307529297,0.23109691160809373,1,1.0,0.21602821327758504,0.24170670063170585,0.9663053261445119,0.24749163879598662
16,1602022,0.2,0,20,2,500,200,-10,3.757705676578535,4.249556198642421,0.2591815320041973,37,1.0,0.3358404510217167,0.3302074564674867,0.9676472337995918,0.6755852842809364
17,1702022,0.2,0,20,2,500,200,-10,2.5573274240136836,1.7555470978471301,0.20126353790613716,31,1.0,0.39061807779688246,0.3230145009159527,0.9741585136624312,0.5618729096989966
18,1802022,0.2,0,20,2,500,200,-10,1.5511252438379204,1.1697704003521903,0.07388663967611334,4,1.0,0.22138874731557334,0.09759997708029175,0.9572474030182131,0.38127090301003347
19,1902022,0.2,0,20,2,500,200,-10,2.2452209037930873,2.322757747028172,0.23723723723723725,9,1.0,0.4405489463052003,0.25793266248367713,0.9818280995079367,0.5618729096989966
20,2002022,0.2,0,20,2,500,200,-10,2.3543770382068736,1.9745343098431283,0.25098814229249017,33,1.0,0.3446138875110091,0.16529375893406276,0.9589657525180985,0.4414715719063545
21,2102022,0.2,0,20,2,500,200,-10,1.8260534791821341,1.3678597484850867,0.25506937033084315,9,1.0,0.5022446282566458,0.30028155175511845,0.9770312625293472,0.30434782608695654
