hft_frac,info_lag,book_volume,metric,n_boot,n_base,n_delay,n_thin_book,n_combined,interaction_point,interaction_boot_mean,ci_low,ci_high,p_two_sided,ci_excludes_zero,positive_point
0.2,3,300,acf_abs_ret_5,1000,30,30,30,30,0.03884584983750275,0.037484502131894915,-0.034898458892456186,0.10987067178594372,0.31,False,True
0.2,3,300,vol_persistence,1000,30,30,30,30,0.006298857462553875,0.006256704165346452,-0.0020097927545043525,0.014784764815119603,0.128,False,True
0.2,3,300,high_vol_cluster_share,1000,30,30,30,30,-0.12575250836120383,-0.12169186176142696,-0.29923634336677823,0.049392419175027825,0.168,False,False
0.2,3,300,vol_ratio,1000,30,30,30,30,-0.6748504949003178,-0.6740662266551328,-1.7241428561153802,0.3078650666292051,0.208,False,False
0.2,3,600,acf_abs_ret_1,1000,30,30,30,30,0.03353184260612585,0.03289930523411879,-0.0484301560352131,0.11082762916169368,0.404,False,True
0.2,3,600,acf_abs_ret_5,1000,30,30,30,30,-0.01043366365840015,-0.011995350622598799,-0.09122200977493992,0.0643471318071001,0.758,False,False
0.2,3,600,vol_persistence,1000,30,30,30,30,0.010194146497208179,0.010103970000856296,0.0007025032496304292,0.019292251851819667,0.036,True,True
0.2,3,600,high_vol_cluster_share,1000,30,30,30,30,-0.16432552954292062,-0.16328104793756967,-0.32677257525083614,-0.0062318840579710716,0.048,True,False
0.2,3,600,vol_ratio,1000,30,30,30,30,-0.8154145166395539,-0.8196064914370927,-1.978050447156659,0.21905295177944403,0.116,False,False
0.2,3,1000,acf_abs_ret_1,1000,30,30,30,30,-0.0005456831352138591,0.0012410424385174222,-0.07281272648539179,0.06847593695944947,0.978,False,False
0.2,3,1000,acf_abs_ret_5,1000,30,30,30,30,-0.03265027301460452,-0.029567277778699587,-0.09869176646756966,0.04203233293727492,0.39,False,False
0.2,3,1000,vol_persistence,1000,30,30,30,30,0.00024277346934653554,0.0003330319182470677,-0.008875934304432679,0.009366712980136437,0.91,False,True
0.2,3,1000,high_vol_cluster_share,1000,30,30,30,30,-0.18182831661092508,-0.18521282051282048,-0.35600891861761425,-0.013706800445930888,0.024,True,False
0.2,3,1000,vol_ratio,1000,30,30,30,30,-1.141108856203243,-1.1307271659842015,-2.261176779502571,-0.08903398947239985,0.034,True,False
0.2,5,300,acf_abs_ret_1,1000,30,30,30,30,0.008701357703196189,0.008703144075766972,-0.07504619903222264,0.09585733459772462,0.846,False,True
0.2,5,300,acf_abs_ret_5,1000,30,30,30,30,0.10604873795688097,0.10509302673052355,0.035020985638856236,0.1781116573230272,0.006,True,True
0.2,5,300,vol_persistence,1000,30,30,30,30,0.007870696657627518,0.0082030069709912,0.00025962770157386683,0.016033329314995248,0.044,True,True
0.2,5,300,high_vol_cluster_share,1000,30,30,30,30,0.0016722408026756397,0.0033918617614269795,-0.18242753623188424,0.18340022296544042,0.95,False,True
0.2,5,300,vol_ratio,1000,30,30,30,30,-0.21396631771559083,-0.20734868857008915,-1.1693201235352337,0.7920423228146101,0.652,False,False
0.2,5,600,acf_abs_ret_1,1000,30,30,30,30,-0.0201927466441833,-0.01894429386266616,-0.09927591894081722,0.06517935822616651,0.624,False,False
0.2,5,600,acf_abs_ret_5,1000,30,30,30,30,0.04413163602487996,0.04529260668586382,-0.02921386314512884,0.11859964518999103,0.248,False,True
0.2,5,600,vol_persistence,1000,30,30,30,30,0.006620591373480478,0.006402198264574323,-0.0026202976213408305,0.015095788639527544,0.148,False,True
0.2,5,600,high_vol_cluster_share,1000,30,30,30,30,-0.06967670011148264,-0.0716051282051282,-0.25568561872909706,0.12019788182831655,0.452,False,False
0.2,5,600,vol_ratio,1000,30,30,30,30,0.09051717377722479,0.10136181405371189,-0.9809259481183924,1.151546707977146,0.85,False,True
0.2,5,1000,acf_abs_ret_1,1000,30,30,30,30,-0.019203078822659314,-0.018891497411711308,-0.09969616264562414,0.05994951595433764,0.616,False,False
0.2,5,1000,acf_abs_ret_5,1000,30,30,30,30,0.0293496327492338,0.03040245155121907,-0.03698150791534619,0.10264981001444008,0.36,False,True
0.2,5,1000,vol_persistence,1000,30,30,30,30,-0.001355579375342697,-0.001411581765890964,-0.010615317894780731,0.007654152719326045,0.782,False,False
0.2,5,1000,high_vol_cluster_share,1000,30,30,30,30,0.02017837235228548,0.026406354515050155,-0.16147435897435902,0.21028985507246378,0.752,False,True
0.2,5,1000,vol_ratio,1000,30,30,30,30,-0.5505107721772116,-0.5643155759434776,-1.4711190187116912,0.41879056920467583,0.248,False,False
0.4,1,300,acf_abs_ret_1,1000,30,30,30,30,0.01412916341005993,0.015689169925287638,-0.05602460231227368,0.0913997571497643,0.7,False,True
0.4,1,300,acf_abs_ret_5,1000,30,30,30,30,-0.033955258554313916,-0.03504541872053236,-0.10787442635218161,0.03683690042543946,0.358,False,False
0.4,1,300,vol_persistence,1000,30,30,30,30,-0.0023809517286118576,-0.002241578710609609,-0.010720701220993282,0.006301797598234948,0.63,False,False
