fast_share,run,crisis_share,mm_panic_ratio,spread_ratio
0.7,8,0.7241379310344828,1.0,1.7206538779381857
0.7,9,0.8275862068965517,1.0,1.0571452954868146
0.8,0,0.7241379310344828,1.0,1.542457029694704
0.8,1,0.8620689655172413,1.0,1.2653319144284139
0.8,2,0.8275862068965517,1.0,1.1895167231633303
0.8,3,0.7586206896551724,1.0,1.272422728266787
0.8,4,0.8275862068965517,1.0,1.617707807819554
0.8,5,0.7931034482758621,0.7433333333333333,1.7911789223786174
0.8,6,0.8620689655172413,1.0,1.31931894352395
0.8,7,0.8620689655172413,1.0,1.3289664445112344
0.8,8,0.9655172413793104,1.0,1.2835948273654418
0.8,9,0.8275862068965517,1.0,1.4773080865438095
0.9,0,0.8620689655172413,1.0,1.6928409078207196
0.9,1,0.7241379310344828,0.22666666666666666,1.1445364200843917
0.9,2,0.8275862068965517,0.9966666666666667,1.7009693701301445
0.9,3,0.7931034482758621,1.0,1.1254634351415855
0.9,4,0.8275862068965517,0.95,2.1138323652366795
0.9,5,0.6896551724137931,1.0,1.17157559796231
0.9,6,0.9310344827586207,1.0,1.0517174494372956
0.9,7,0.8620689655172413,0.9766666666666667,1.3206480376661451
0.9,8,0.7586206896551724,1.0,1.1486701593497977
0.9,9,0.7931034482758621,1.0,2.036554141442091
1.0,0,0.896551724137931,0.6933333333333334,1.5075672953861055
1.0,1,0.9310344827586207,1.0,1.2880268348397992
1.0,2,0.7586206896551724,1.0,1.561458567615008
1.0,3,0.8620689655172413,1.0,2.2141117585662617
1.0,4,0.7586206896551724,1.0,0.9859093579033573
1.0,5,0.7586206896551724,0.83,1.5088643102677985
1.0,6,0.7586206896551724,0.42333333333333334,1.3471865822225653
1.0,7,0.7931034482758621,1.0,0.9843739264092362
1.0,8,0.7931034482758621,1.0,1.3300730581663596
1.0,9,0.8275862068965517,1.0,1.298866860923131
