grid,speed_mult,info_lag,hft_frac,vol_ratio_mean,vol_ratio_std,spread_ratio_mean,spread_ratio_std,drawdown_mean,drawdown_std,recovery_mean,recovery_std,mm_panic_mean,mm_panic_std,n_runs
noisy_delay,1,3,0.2,2.2573938649927623,1.2448064914126962,2.5574950040651485,1.4435518925439874,0.16530145191245285,0.06126603312641927,65.26666666666667,98.32666644066265,0.9103333333333333,0.2240096980659235,30
noisy_delay,1,3,0.3,2.2163727343058133,1.218343802344552,2.74118581466728,1.9698306425476975,0.14449370985795487,0.044432381787594684,40.833333333333336,59.80490311656403,0.9326666666666666,0.15706698671005387,30
noisy_delay,1,3,0.4,2.055055188252284,0.8536060191715475,2.4024423386778837,1.3202958909097697,0.15205756786636832,0.04110433913327037,42.333333333333336,62.448507523831374,0.969,0.05268390522476291,30
noisy_delay,1,3,0.5,2.111111918647299,0.8299806748355907,2.3193099352181763,1.1125515009135756,0.143642188961195,0.045739660334652106,37.56666666666667,63.06027949965583,0.9688888888888889,0.11262909437221805,30
noisy_delay,1,3,0.6,2.114590960122638,1.4181694261027873,2.2332849310893326,1.6707141246694655,0.14320662308389118,0.04400195554324156,50.166666666666664,78.27276944622318,0.9333333333333333,0.18047404585162277,30
noisy_delay,1,3,0.7,1.9887990712917902,0.7979418744507608,2.587895727694148,1.3888031276087964,0.13337798542482246,0.03771510497479861,41.03333333333333,59.0683317530803,0.9368888888888889,0.18326944201921172,30
noisy_delay,1,3,0.8,1.9185342415239077,0.7707878954635418,1.977384177188185,0.8267517475823585,0.1296663444774889,0.03670443005390017,27.0,36.62013766711726,0.9838888888888888,0.03684994251136191,30
noisy_delay,1,3,0.9,2.0597546146147323,0.8682597232310678,2.3110154858257155,1.2715821977120043,0.14559108509734406,0.054520798208111065,40.46666666666667,57.72152728959689,0.9355555555555556,0.21536449248481962,30
noisy_delay,1,3,1.0,2.4241789334406376,1.2633547311619815,3.021252016014326,2.108711497237525,0.13848916344587922,0.046135020948882,26.266666666666666,17.99220776419295,0.9345555555555555,0.16506003397193036,30
noisy_delay,1,5,0.0,2.2016032542023463,1.0031183805582888,2.5357802333938406,1.695341173662409,0.1544180631561682,0.053187033736809386,31.066666666666666,52.738086305121435,0.9466666666666667,0.16537198287589863,30
noisy_delay,1,5,0.1,2.2234851584685473,0.92326003094687,2.683200050659863,1.3345054210381098,0.1495255028956909,0.05987559770463785,30.766666666666666,25.970385433031794,0.9501111111111111,0.11218650089648571,30
