fast_share,front_running,run,vol_ratio,spread_ratio,max_drawdown,mm_panic_ratio,equity_gap
0.3,True,3,1.2033774923686869,1.0147062788112289,0.10010010010010009,0.0,1.101390105342203
0.3,True,4,1.260430963091335,1.1714393459565728,0.09536541889483069,0.0,-0.8606336564319161
0.3,True,5,1.0326907901216253,1.2221016436534426,0.1,0.0,-0.22715982753097194
0.3,True,6,1.0926289635424362,1.1168028475619565,0.10311284046692602,0.0,0.37329073281250313
0.3,True,7,1.2485903117796249,0.9453720340021682,0.09962756052141529,0.0,0.6103735085917786
0.3,True,8,2.251543059030116,1.5103195607696571,0.10924369747899165,0.0,-0.5876435326246762
0.3,True,9,1.3022949295143185,1.2984744232891263,0.11583421891604667,0.0,0.7678883599108057
0.3,True,10,0.7051974766072149,0.8137421734415516,0.12019230769230768,0.0,0.04660333202494722
0.3,True,11,1.5977795701956496,1.9628045245159502,0.10659340659340663,0.0,-0.4158752851615015
0.3,True,12,0.8096755438126633,0.9779479177387456,0.10283315844700942,0.0,3.3691840840820313
0.3,True,13,1.6070228241051516,1.7074112927208531,0.11514522821576771,0.0,0.1450048312124228
0.3,True,14,1.289184116313108,1.3120830500670706,0.09330819981149852,0.0,5.604714117519313
0.3,True,15,1.1113122736808971,0.8791845215928367,0.09315068493150687,0.006666666666666667,0.5356268631107983
0.3,True,16,1.0866853518915696,1.257265788590406,0.15520628683693513,0.0,-0.10968448306279027
0.3,True,17,1.5696454202746462,2.0047157446553987,0.1271415689810641,0.0,0.710449366778194
0.3,True,18,1.3752958083722167,1.4365717576404333,0.11022044088176353,0.73,0.2635856879077485
0.3,True,19,1.9250874767954067,1.6518484835565534,0.10416666666666667,0.0,0.24883067117651658
0.3,True,20,1.4812575667790258,1.3665492291862895,0.0945179584120983,0.0,0.7053697161462777
0.3,True,21,1.325296151637041,1.7086344691453728,0.11170212765957446,0.0,-0.47147223440653124
0.3,True,22,1.1587657293503764,1.282548349972301,0.10910815939278937,0.0,0.18364766870008517
0.3,True,23,1.2289803607252998,1.0665273325961129,0.10744680851063823,0.0,0.8735991146234685
0.3,True,24,1.1435093285216051,1.098434484225689,0.11977401129943496,0.0,0.1813812033380206
0.3,True,25,1.1183471827279234,0.9181453692778521,0.15241228070175444,0.0,0.41162868103153694
0.3,True,26,1.3295994013816768,1.8627114846430752,0.13429752066115702,0.0,0.2724314636070956
0.3,True,27,0.9131577595384182,1.3080136226196117,0.09300184162062611,0.0,0.7153352706744066
0.3,True,28,1.2426875734494973,1.3329124982025273,0.0866900175131349,0.8766666666666667,1.4889178136644667
0.3,True,29,1.7229989346596881,1.8780187056794613,0.12606635071090044,0.0,1.110260204305221
0.4,True,0,1.1942749285798904,1.232897016476824,0.11796536796536802,0.0,-0.10179180440165385
0.4,True,1,1.2930352283925615,1.645337163198945,0.1159420289855073,0.0,0.45939686182118633
0.4,True,2,1.8830106995378173,2.3883677200053133,0.11256830601092893,0.0,-2.8182401191060067
0.4,True,3,1.6874552321335856,1.6739055218767693,0.11024498886414245,0.0,0.8449844537976301
0.4,True,4,1.3887172367358207,1.2708790224623001,0.11923847695390774,0.0,0.12059258347214663
0.4,True,5,0.8900732680601593,0.8238457771708185,0.11111111111111102,0.0,-0.31152913245306135
0.4,True,6,1.0845547460180938,0.9913423913070792,0.10166177908113384,0.0,0.0007298433289375378
0.4,True,7,1.4993200487856169,1.9784708535190263,0.11665004985044869,0.0,4.278761279648389
0.4,True,8,2.03727211851887,2.0979575105313715,0.17425569176882666,0.0,1.643882907076067
0.4,True,9,0.9746636664729991,1.2557326235400743,0.10967741935483874,0.0,-0.9390789675054465
0.4,True,10,1.0348018587919368,1.7663501672397306,0.11641791044776122,0.0,-0.4859244717536997
0.4,True,11,1.2525827599347394,1.4103998778412123,0.07021063189568706,0.0,-1.7432359763542187
0.4,True,12,1.2656128993418936,2.5480633916469095,0.1373801916932908,1.0,0.04355347625155548
0.4,True,13,0.9392064557366157,1.0506600308720262,0.14341463414634148,0.0,0.08644529220638553
0.4,True,14,1.1592495413354875,1.3222417929545973,0.11553784860557777,0.0,-0.7774614755489436
0.4,True,15,1.4389150628118168,1.4384696826039507,0.10799999999999997,0.0,-0.8047273260712045
0.4,True,16,1.2088032766532169,2.212078739989411,0.14650934119960674,0.0,0.3056279870735571
0.4,True,17,1.083105401944274,0.7652309448296979,0.09831181727904673,0.0,0.7893523384354484
0.4,True,18,1.2037803079221603,1.5375539014119006,0.10069790628115648,0.0,-0.5444780628288658
0.4,True,19,1.2698725511970235,2.06750163756266,0.09381663113006394,0.0,0.18053985162888908
0.4,True,20,1.3187982434020147,1.7487430310314405,0.11134676564156946,0.0,-1.9099616828210577
0.4,True,21,1.0835977519594975,1.2286081533869877,0.10964912280701754,0.0,-1.3492840307127225
0.4,True,22,1.31743667276178,2.271597247763424,0.16497975708502022,0.0,-0.16040459622816647
0.4,True,23,2.2357564353213784,2.5568229921185686,0.11976047904191617,0.5266666666666666,-1.5536666780028336
0.4,True,24,0.9503712149111536,1.4025669664810405,0.10447761194029845,1.0,-1.5545967702294585
0.4,True,25,1.5439921405439199,1.2809464951923666,0.1107078039927405,0.0,0.659836300780097
0.4,True,26,1.0835147453663228,1.4123447167155314,0.11247443762781187,0.0,-0.6057154974934053
0.4,True,27,1.0575157992952438,1.1808984794049258,0.09617271835132493,0.0,1.7725093441549895
0.4,True,28,1.7212599542042624,1.222552657025769,0.09794319294809012,0.0,1.0734185571701733
0.4,True,29,1.1842371104148828,1.2150412910880615,0.11568409343715244,0.0,-0.12082928444952298
