hft_frac,lag,run,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio
0.2,0,24,3.4394496724640717,2.6430826623826054,0.1917948717948718,10,1.0
0.2,0,25,0.9078761877270805,0.9620594457152181,0.09056603773584901,16,1.0
0.2,0,26,2.8650011778033706,3.407365995204813,0.1944444444444445,25,1.0
0.2,0,27,3.0570391229662395,3.195920288391667,0.20813165537270087,28,1.0
0.2,0,28,1.5927110333189796,1.617183181035294,0.11200000000000003,6,1.0
0.2,0,29,1.4269124277471834,1.5132069085212652,0.10526315789473692,15,1.0
0.3,0,0,1.2747394366990588,1.1252044080551593,0.10567514677103715,33,1.0
0.3,0,1,1.3530076471538548,1.2542023589171636,0.09332023575638507,5,1.0
0.3,0,2,2.1008688402264144,1.884798088903729,0.10392364793213146,6,1.0
0.3,0,3,2.027303353172472,2.0300514191577617,0.1609081934846989,13,1.0
0.3,0,4,2.0971925797530795,2.886407060141735,0.18112488083889416,16,0.9966666666666667
0.3,0,5,1.64806765339168,2.2819418556691984,0.15827338129496404,16,1.0
0.3,0,6,1.7281585573678981,1.3960177809326018,0.21140609636184857,17,1.0
0.3,0,7,2.9248807940814903,3.5544995858916497,0.18436293436293433,51,0.9
0.3,0,8,2.8745251484097274,3.1620621195587697,0.10852713178294576,17,0.94
0.3,0,9,1.1635484527287423,1.2187569637551114,0.1065032987747408,11,1.0
0.3,0,10,0.7938032653806659,0.48488464747889415,0.3143399810066476,29,1.0
0.3,0,11,2.093554655039116,2.070445441573356,0.15306122448979592,47,1.0
0.3,0,12,2.500703213698641,2.165461663101627,0.13926499032882017,8,1.0
0.3,0,13,3.5723017042640026,3.8309799453295033,0.19219790675547088,55,0.8933333333333333
0.3,0,14,1.5641459813315397,1.5564500165953683,0.15009208103130753,17,1.0
0.3,0,15,2.049566717300025,2.9043128432414194,0.1395833333333334,23,1.0
0.3,0,16,1.4535753219389185,1.6591525423913245,0.097029702970297,15,0.95
0.3,0,17,1.7566107786887961,2.462187088577703,0.11735205616850554,11,1.0
0.3,0,18,2.834417112466594,3.37627622028774,0.22625698324022356,38,0.9566666666666667
0.3,0,19,1.7975656545025445,3.2305562966523507,0.17843511450381683,42,1.0
0.3,0,20,1.3644961089873684,1.6404843996157583,0.19576719576719576,22,1.0
0.3,0,21,1.8475064878981486,3.2065527581619215,0.10070493454179255,41,0.87
0.3,0,22,2.0606051163779022,2.075960488636428,0.18133047210300435,17,1.0
0.3,0,23,0.9211986150557057,1.0748273512306616,0.17075664621676895,18,1.0
0.3,0,24,2.0315378422748482,2.4434087933075217,0.11171662125340598,27,0.9133333333333333
0.3,0,25,2.8234974960350505,2.9500288875904586,0.2028665931642779,41,1.0
0.3,0,26,3.593129132109498,5.5920426539288846,0.11999999999999997,9,1.0
0.3,0,27,3.2296925425405902,1.9747182170844384,0.3536379018612521,19,1.0
0.3,0,28,1.5970159548314637,1.8347284072368455,0.13170163170163168,2,1.0
0.3,0,29,1.9283557431907794,2.0532464973373377,0.16292134831460675,11,1.0
0.4,0,0,2.6249788547352497,3.9170335416753996,0.1278688524590164,8,0.99
0.4,0,1,1.4113426417870747,1.7134603045653383,0.1795698924731183,20,1.0
0.4,0,2,3.1010592759906,2.9058789833130114,0.2549203373945642,43,1.0
0.4,0,3,2.7245002388225306,3.3583566022530014,0.1098901098901099,7,0.58
0.4,0,4,2.199020944769697,2.3952719743080517,0.11602209944751381,4,1.0
0.4,0,5,1.2664214060478505,1.2790683995471652,0.2075471698113208,15,1.0
0.4,0,6,1.6649319454269431,2.10189926126031,0.09879963065558636,14,0.9633333333333334
0.4,0,7,5.625598469161871,6.675465151902634,0.2296601441812564,8,1.0
0.4,0,8,2.4283636947111993,3.0848829001496525,0.08383233532934137,12,0.96
0.4,0,9,1.6348160041634057,3.3354097247343377,0.1536964980544747,23,0.97
0.4,0,10,2.116976877717336,2.1553240288638325,0.1584905660377358,32,1.0
0.4,0,11,2.199787723205217,2.519291666838795,0.15862808145766344,10,1.0
0.4,0,12,2.258980477437101,2.035832066033871,0.1166044776119403,8,1.0
0.4,0,13,1.949645552411663,2.2384359987778564,0.17745302713987474,82,1.0
0.4,0,14,2.2378107392993445,2.2387993602402942,0.15562248995983938,36,1.0
0.4,0,15,1.753521871664293,1.7105124649084014,0.13975155279503107,196,1.0
0.4,0,16,2.2345419271967057,1.7985527984651433,0.1462450592885375,19,1.0
0.4,0,17,2.2870030478208934,2.491204399185544,0.16446700507614215,300,0.69
0.4,0,18,2.630770149748696,2.6991108567802513,0.18062088428974604,6,1.0
