hft_frac,run,diff_vol_ratio,diff_spread_ratio,diff_max_drawdown,diff_recovery_time,diff_mm_panic_ratio,diff_total_executed_volume,diff_post_volume,diff_volume_per_tick,diff_realized_vol_per_volume,diff_n_ticks
0.0,24,-0.0084115809503158,0.007352817962266611,-0.007535467416349195,-1.0,0.0,0.0,-22.0,0.0,-3.1488699382077514e-06,0.0
0.0,25,-0.008434343229806629,-0.02126670948327858,0.0064626104267761775,-7.0,0.0,16.0,4.0,0.006119760479043279,-1.049488339690879e-07,1.0
0.0,26,-4.889189562931033,-6.741083987952061,-0.026707667262079862,3.0,0.0,17.0,-4.0,-1.2263217550274224,-0.00024698309912247823,47.0
0.0,27,-0.4227534547800187,-0.7287768560008603,-0.0009668355390373973,11.0,0.0,1.0,-20.0,-0.5388593448940266,-5.1269656484635045e-05,19.0
0.0,28,0.32631683275315204,-0.9839804892493658,0.0011416494475738337,-1.0,0.0,4.0,-21.0,-0.731698113207548,6.115295529307129e-05,30.0
0.0,29,4.8753340835334225,4.82929948761209,0.10685618056827362,13.0,0.0,15.0,-20.0,0.9666781115879832,0.0005353702706606335,-34.0
0.0,30,0.9912537384990012,0.9113715805890923,0.021857497867289716,6.0,0.0,8.0,-22.0,0.19317241379310346,0.00016039767164901234,-7.0
0.0,31,-1.056853231182948,-0.8039391521225974,-0.0623707563610347,-2.0,0.0,6.0,-37.0,-0.351182879377431,-0.0002301180201086081,14.0
0.0,32,0.47607183036539436,0.36714231029976574,0.040637960436170587,0.0,0.0,14.0,-24.0,0.523833333333334,0.00010719757461292087,-20.0
0.0,33,-3.038663294472812,-3.444779465707705,-0.1416765866183951,-2.0,0.0,16.0,-10.0,-0.5628702290076326,-0.0005799981963892201,24.0
0.0,34,0.22904651005252874,0.008319615839189165,0.0707697227786101,2.0,0.0,23.0,-5.0,0.07123046092184282,4.1879509573085534e-05,-1.0
0.0,35,0.7893987924152095,0.445482628544972,-0.0006713704824999611,-5.0,0.0,0.0,-16.0,0.6851634819532908,8.597441586584935e-05,-29.0
0.0,36,0.6254703945009066,0.5085024369965372,0.033649320311622155,-2.0,0.0,3.0,-18.0,0.11046774193548359,0.0002517452004972373,-4.0
0.0,37,-0.009451429652517995,0.2102496804217775,-0.003271091726863809,5.0,0.0,4.0,-5.0,0.41639669421487646,4.542656476754975e-05,-16.0
0.0,38,-0.20744428127378256,-0.11050165119302968,0.001031084483806441,7.0,0.0,7.0,-32.0,-0.7956240601503755,-4.1538332280470535e-05,32.0
0.0,39,-2.0679835629916425,-3.1754546261780034,-0.08460086516199058,-48.0,0.0,10.0,-12.0,-1.5210941385435177,-0.00044187019652396276,63.0
0.0,40,-0.7542522326878363,-0.3363896944749367,-0.015315128417445728,24.0,0.0,3.0,-41.0,-0.566493307839389,-0.00021245857892077618,23.0
0.0,41,0.3998752282837872,0.23945287335443843,-0.04563993136521635,-3.0,0.0,2.0,-25.0,0.5857023060796642,0.00010733671838954707,-23.0
0.0,42,0.2123666180744992,0.3496274407163338,-0.0003276087123442184,19.0,0.0,4.0,-43.0,0.7491694915254232,5.915185575030229e-05,-28.0
0.0,43,0.5563116740739873,0.39415075982483283,0.0820110101328427,6.0,0.0,8.0,-7.0,0.11424193548386974,0.00019762617983282033,-4.0
0.0,44,-0.07808990258110304,-0.1876142181996654,-0.04434726407023018,0.0,0.0,6.0,-5.0,-0.299203125,-4.227197540565959e-05,12.0
0.0,45,-0.08863293646175574,-0.022618258139595504,-0.06949737494336805,-7.0,0.0,6.0,-7.0,-0.37379844961240316,-1.4684723185408175e-05,16.0
0.0,46,3.023821954612924,2.1814289258202004,0.07763425611936622,-3.0,0.0,15.0,1.0,0.901850107066382,0.00045230456434907886,-33.0
0.0,47,-0.005649751190679897,0.006799935529687273,0.007685945355515464,-1.0,0.0,0.0,-20.0,0.0,3.9166471809217764e-07,0.0
0.0,48,1.0255317011116913,0.9206549464156568,-0.006290669321444509,-1.0,0.0,4.0,-40.0,0.814808510638299,3.367525001874848e-05,-30.0
0.0,49,-0.24380562274171202,-0.08984655353388638,-0.06394129979035633,22.0,0.0,1.0,-24.0,-0.30944422700586927,-1.2691489658707357e-05,11.0
0.2,0,-0.06965453888378104,0.1801583120311705,-0.014196702868763802,8.0,0.0,5.0,-18.0,0.062232931726907026,-3.534714566536936e-05,-2.0
0.2,1,3.135712036686505,2.5527830301583556,0.008812794872555624,0.0,0.0,11.0,-15.0,1.5857777777777784,0.0002828242998274708,-50.0
0.2,2,-0.39359063722190224,-1.453025666052834,-0.017793244465416247,-3.0,0.0,9.0,-53.0,-0.6204214559386987,-7.120554894153179e-05,22.0
0.2,3,0.04349892639797792,0.09134119848026456,-0.028128962482285302,0.0,0.0,5.0,-38.0,-0.31831968810916145,3.674470241544947e-05,13.0
0.2,4,-0.2553255373661325,-0.14763687954124904,-0.035643512118941956,-6.0,0.0,5.0,-36.0,-0.20618897637795186,-2.793658129335232e-05,8.0
0.2,5,-1.0407298536081042,-0.8294013953301558,-0.06006122448979595,-5.0,0.0,5.0,-12.0,-0.8811857410881796,-0.000333117276798422,33.0
0.2,6,0.742083393550725,-0.167439117162135,0.021539149507037836,22.0,0.0,0.0,-39.0,0.1577575757575751,2.2937816685491533e-05,-5.0
0.2,7,1.0884185423477692,0.6010658854667825,0.13000968046940892,5.0,0.0,0.0,-70.0,0.31123926380367983,0.00019833687526703308,-11.0
0.2,8,-0.11338318766028588,-0.1871952157755169,0.009967051356831347,59.0,0.0,3.0,-17.0,-0.11326984126984208,-9.893633587809784e-05,4.0
0.2,9,-0.6345513810148724,-0.7780638794557972,-0.05408235916087234,-8.0,0.0,7.0,-17.0,0.30775510204081513,-0.00037451456542239385,-10.0
0.2,10,-0.2938342741649187,-0.43204981425656475,-0.11224564316628613,-297.0,0.0,4.0,-33.0,-0.24356862745097985,-6.617034558593218e-05,10.0
0.2,11,0.88961535339158,1.0738666694554708,-0.038252975095080466,-2.0,0.0,12.0,-22.0,1.744783599088839,0.00013662112166568796,-61.0
0.2,12,1.0324065142466197,1.0470009786172176,-0.0399994751954896,-70.0,0.0,1.0,-22.0,2.0060417633410665,0.00025011175201781035,-69.0
0.2,13,0.11440509115915198,0.027781849572856454,0.059730094466936515,-3.0,0.0,0.0,-21.0,0.6961008403361362,4.051363034713565e-05,-24.0
0.2,14,3.6167670398776024,2.9131874897185273,0.0908777198070283,0.0,0.0,5.0,-18.0,1.7527074829931966,0.0003659925434021435,-59.0
0.2,15,-0.07361685988180788,-0.7289113285524449,-0.03618993259404224,-6.0,0.0,1.0,-17.0,-0.35509375,-5.358917698433316e-06,12.0
