hft_frac,run,interaction_recovery_time,interaction_max_drawdown,interaction_stabilization_gap
0.2,138,-153.0,-0.023347128866926165,0.0812398829890029
0.2,139,16.0,-0.05812093341043423,-0.14975744673428631
0.2,140,57.0,0.061054782342438524,0.1193725746006774
0.2,141,5.0,0.1243745230772715,0.071683320254251
0.2,142,336.0,0.010939689423286464,0.1341806801910781
0.2,143,40.0,0.1624753944645395,-0.02152019509624121
0.2,144,22.0,-0.1440989027129534,-0.058765958802658
0.2,145,21.0,0.10562363863388619,-0.14765556062280857
0.2,146,-20.0,0.07004892787441588,-1.041713030086947
0.2,147,22.0,0.07957592251931828,0.04474218629871851
0.2,148,13.0,0.15710817506356692,0.235979028131542
0.2,149,1.0,-0.013117904064823896,-0.16161378737568832
0.2,150,54.0,0.286849061753222,-0.1984869741959808
0.2,151,91.0,0.1311821521563783,0.0501566374064735
0.2,152,-7.0,-0.06143158105432339,0.22572147413906268
0.2,153,4.0,-0.2103994555095392,-0.2113342774454755
0.2,154,-4.0,0.17419958981350142,0.1364236149527291
0.2,155,-175.0,-0.0376199491451748,-0.17493692080202247
0.2,156,-16.0,0.28196037535887003,0.0018983847200689935
0.2,157,281.0,0.0775132024750557,0.11989985335896759
0.2,158,0.0,-0.1227325151631728,-0.035917224662269105
0.2,159,189.0,0.205367047218998,0.08006392311100659
0.2,160,5.0,0.1455484678179086,-0.028127396957491987
0.2,161,-35.0,-0.021999351129030675,-0.3510631936926516
0.2,162,-24.0,0.06462612690108044,0.1693890097912798
0.2,163,-30.0,0.15140161422377937,0.030114422349498238
0.2,164,-13.0,0.2091057804571982,0.1836345446706561
0.2,165,-37.0,0.4174315401604695,0.029195554743900808
0.2,166,-18.0,-0.07371911544046192,0.34836353309710566
0.2,167,31.0,-0.02501708184102011,-0.2247191415354708
0.2,168,312.0,0.027272355162421644,-0.08464966020563121
0.2,169,449.0,-0.04638684171013911,-0.07258222837356751
0.2,170,12.0,0.1657906417824751,-0.11527301937195068
0.2,171,16.0,0.3038478323369158,0.2736229845402668
0.2,172,-19.0,0.05544417785041501,-0.0685247878957679
0.2,173,8.0,-0.07110108309721244,0.343175741830681
0.2,174,-208.0,0.2705172473112096,-0.0939278186235979
0.2,175,13.0,0.41005664582124957,0.06529659090290141
0.2,176,35.0,0.0734003648033367,-0.27604216125245584
0.2,177,-548.0,-0.08596886543917243,-0.05719180010132501
0.2,178,-34.0,0.06484825141647443,0.1511700611971736
0.2,179,250.0,0.1904990554702362,0.32897329584905644
0.2,180,-1.0,-0.15236517534562757,0.15543229608368359
0.2,181,72.0,0.07282612033658561,0.0651578894276328
0.2,182,27.0,0.02836502093275689,-0.07823169266903679
0.2,183,19.0,0.024975150871115098,0.1158209940502239
0.2,184,61.0,-0.2091587569659915,0.2066294113516452
0.2,185,236.0,0.2016547071756098,0.064876177588672
0.2,186,264.0,0.0531206034409695,0.1736305301296722
0.2,187,244.0,0.0661726101831247,-3.057866840951162e-05
0.2,188,5.0,-0.169214079317352,0.0626620083777244
0.2,189,281.0,-0.027716402677965296,0.14273187008818158
0.2,190,9.0,0.015920387188905025,-0.3688607707214599
0.2,191,-62.0,0.15371025250449677,0.059486793903590615
0.2,192,238.0,-0.2648479479962682,0.43776287782017953
0.2,193,40.0,0.028456482271790512,0.07673275231081358
0.2,194,-21.0,0.08762259878346101,-0.4729412788733284
0.2,195,44.0,0.01113475549142759,0.2073660718120343
0.2,196,108.0,0.167976781225284,-0.022389063046491905
0.2,197,28.0,-0.29751340861675046,0.0021743508853626047
0.2,198,73.0,-0.1087599061803458,-0.095484277762188
0.2,199,238.0,0.25996633768027977,-0.06734351567805
0.4,0,101.0,-0.13629445398114537,-0.0739463240174232
0.4,1,-309.0,-0.32338520583413244,-0.08245616040819898
0.4,2,-373.0,-0.07709630734795903,-0.038652066418918
0.4,3,245.0,0.18954552749635895,0.06261991848500396
0.4,4,-37.0,0.05693137552701322,-0.21642645514820233
0.4,5,557.0,0.28182438481140876,-0.2169823258667203
0.4,6,4.0,-0.16696389449291232,0.0612212194913392
0.4,7,57.0,0.44906163980306096,0.0578799533151441
0.4,8,-26.0,-0.2123691583914948,-0.08964457323277009
0.4,9,43.0,0.18740261683057802,-0.005415811024962313
0.4,10,1.0,0.2786994134435436,0.15058867431014478
0.4,11,-122.0,-0.1269692680377859,0.0567720045640082
0.4,12,-35.0,0.09995980982823088,0.062458277655645794
0.4,13,286.0,0.22451826400410213,0.3146829222662882
0.4,14,-28.0,0.1849411578579377,0.3595101978732146
0.4,15,15.0,0.11614848875244402,0.025146942327723295
0.4,16,-22.0,0.14052412848898446,0.47403108067616817
0.4,17,59.0,0.3420375255812528,-0.2182812339365392
0.4,18,-21.0,-0.13510870666136188,0.3864060922011563
0.4,19,68.0,-0.07122979170162327,0.091228083690654
0.4,20,-11.0,0.029007313460558903,-0.439868472095985
0.4,21,15.0,0.3874373984218664,0.34757686439297947
0.4,22,196.0,0.27520303170879523,0.2896765813195372
0.4,23,-261.0,0.38049705218418545,-0.0024314172752180063
0.4,24,53.0,0.150370668354895,-0.3233105063896477
0.4,25,-15.0,-0.19932243965690005,0.120920289032879
0.4,26,16.0,-0.09863964946044654,-0.0029259437897466035
0.4,27,111.0,0.31186537847558626,-0.420593198425915
0.4,28,31.0,0.23878301115788478,-0.04337531519593227
0.4,29,76.0,0.2384610983768431,0.08319108281233709
0.4,30,4.0,-0.02925447679885651,-0.1520845814850478
0.4,31,-1.0,0.06361176725988191,0.5230213779553767
0.4,32,168.0,-0.1620848632258011,0.10605028138778641
0.4,33,-67.0,-0.0555884674100533,0.09416035252396908
0.4,34,23.0,-0.037922857241213026,0.35128077222190357
