fast_share,softlimit,run,vol_ratio,spread_ratio,max_drawdown,mm_panic_ratio
0.9,5,10,1.1211937167083506,1.236478594464316,0.12236710130391176,1.0
0.9,5,11,0.9512652981022635,1.0683368771016806,0.09433962264150943,1.0
0.9,5,12,0.9207545268256409,0.9513175926945195,0.12589073634204284,1.0
0.9,5,13,0.9529591979930595,1.0202671196814277,0.11085972850678745,1.0
0.9,5,14,1.270938580327927,0.9914151933400066,0.10318225650916106,1.0
0.9,5,15,1.2766575137625815,1.2229080971708404,0.10766246362754603,1.0
0.9,5,16,1.4389947791321411,1.1559346914387163,0.16363636363636358,1.0
0.9,5,17,1.239107363728808,1.066493081945837,0.15655577299412915,1.0
0.9,5,18,1.0176313248288131,1.2015850909213697,0.10886319845857416,1.0
0.9,5,19,1.1675307613757022,1.0165684841490095,0.12935323383084577,1.0
1.0,5,0,0.8967029661369269,0.9014189825450776,0.11318795430944956,1.0
1.0,5,1,1.303244661858615,1.6112879363268309,0.14750762970498474,1.0
1.0,5,2,1.1286934303939613,1.4073330880886339,0.11846001974333663,1.0
1.0,5,3,1.1476762295354057,1.2304725852439007,0.10602910602910605,1.0
1.0,5,4,1.2795200244558451,1.1368630096224097,0.09485815602836882,1.0
1.0,5,5,1.2992331439450273,1.001368583335632,0.09686888454011747,1.0
1.0,5,6,0.9230365693877218,1.1309663746373513,0.11000000000000007,1.0
1.0,5,7,1.2628787716795484,1.092168756635915,0.19452590420332347,1.0
1.0,5,8,1.1234711064812506,1.285277316060713,0.12551020408163263,1.0
1.0,5,9,1.2004632158216877,1.3470984315164325,0.11227701993704095,1.0
1.0,5,10,1.10490741295262,0.9900976320601804,0.0958254269449716,1.0
1.0,5,11,1.0983353544247392,1.1027769687336033,0.1432637571157496,1.0
1.0,5,12,0.9679263611475578,1.013319287846044,0.11518324607329843,1.0
1.0,5,13,1.4140815068879917,1.3466256045737752,0.15610217596972564,1.0
1.0,5,14,1.080744536209383,1.1261492376784161,0.10264900662251653,1.0
1.0,5,15,1.1464489805703832,1.0067504960748206,0.1230925737538148,1.0
1.0,5,16,0.9460592744858111,0.9884422519226805,0.10253699788583498,1.0
1.0,5,17,0.8750763962120889,0.9320573604644957,0.10263929618768329,1.0
1.0,5,18,1.3379978279401097,1.2904661842288543,0.107177033492823,1.0
1.0,5,19,1.5740107993300205,1.4032278617690888,0.10736842105263161,1.0
0.0,10,0,1.1185274265915048,1.1374984279380118,0.16616915422885575,1.0
0.0,10,1,1.255123982310776,1.1041124487311529,0.1371428571428572,1.0
0.0,10,2,1.0444865681678706,1.1738915065409896,0.10420841683366726,1.0
0.0,10,3,1.7498139093888438,1.5901334585302227,0.10975609756097567,1.0
0.0,10,4,1.1989112715716794,1.6215805288754703,0.15665024630541877,1.0
0.0,10,5,0.9893512555764346,1.1555450100809264,0.11507128309572298,1.0
0.0,10,6,1.1572623434812443,1.5270483214386485,0.11055276381909548,1.0
0.0,10,7,1.1380038571113766,1.1546093570114806,0.12022367194780981,1.0
0.0,10,8,0.9139335559958788,1.3224415179533613,0.18942307692307694,1.0
0.0,10,9,1.406120517081986,1.5603100897565745,0.11133603238866398,1.0
0.0,10,10,1.0787296258385957,1.1901182070362402,0.11051502145922744,1.0
0.0,10,11,1.1885694220370195,1.4839285315021409,0.09930486593843098,1.0
0.0,10,12,1.1834355353827748,1.2330475433494532,0.11366245694603895,1.0
0.0,10,13,0.8081514987205712,0.9026786391030707,0.11086474501108647,1.0
0.0,10,14,1.035077024957934,1.1376590582731967,0.10208562019758505,1.0
0.0,10,15,1.1258685109201432,1.2045060883601912,0.1550239234449761,1.0
0.0,10,16,0.8244264696359814,0.8552378336280042,0.10606060606060606,1.0
0.0,10,17,1.5760961084224816,1.7719523538604556,0.13789868667917438,1.0
0.0,10,18,1.4224321662646016,1.5744736202457281,0.11443850267379682,1.0
0.0,10,19,0.9054972735428469,1.295264457593485,0.12624584717607965,1.0
0.1,10,0,1.1185999188641877,1.169638236508909,0.14257425742574262,1.0
0.1,10,1,1.0247226652466248,0.9118833858869569,0.1303395399780941,1.0
0.1,10,2,1.396711261475783,1.6193847944560298,0.10391061452513964,1.0
0.1,10,3,1.0878833246546016,1.2077538821450617,0.12293388429752057,1.0
0.1,10,4,1.068779121142512,1.228575790426796,0.13139534883720927,1.0
0.1,10,5,0.9897103143439984,0.9285839219293139,0.12394366197183102,1.0
0.1,10,6,0.853106023621644,0.9953623589670174,0.10582010582010581,1.0
0.1,10,7,0.8847453429859611,1.1129956611133027,0.10548086866597728,1.0
0.1,10,8,1.4887697485394285,1.5949370049397562,0.10649627263045792,1.0
0.1,10,9,1.3506077195056951,1.3533309049508047,0.18949343339587232,1.0
0.1,10,10,0.7976359239345626,1.0408124042499287,0.11510031678986278,1.0
0.1,10,11,1.062987635102227,1.2530521008141866,0.1617647058823529,1.0
0.1,10,12,0.9324588582382789,0.9809141820261483,0.15795328142380424,1.0
0.1,10,13,1.064795782902743,1.267926216934466,0.1148851148851149,1.0
0.1,10,14,1.1668042770451312,1.3932763415009721,0.10810810810810811,1.0
0.1,10,15,0.8164809294086431,1.1948813664356304,0.09537572254335253,1.0
0.1,10,16,1.8512800140783279,2.1671130990033527,0.09306742640075971,1.0
0.1,10,17,1.6683246206016886,1.5880410656982316,0.18023255813953495,1.0
0.1,10,18,1.0847958957368005,1.0547168399706075,0.0995670995670996,1.0
