mode,run,seed,hft_frac,n_ticks,shock_tick,shock_dp,speed_multiplier,vstar_postshock,calendar_post_volume,total_executed_volume,total_executed_trades,post_rv,pre_rv,post_rv_per_volume,post_rv_per_trade,post_vol_per_sqrt_volume,equal_volume_vol_ratio,post_window_volume,pre_window_volume,post_window_trades,pre_window_trades,post_window_ticks,pre_window_ticks,target_post_volume,post_volume_error,calendar_style_vol_ratio,spread_ratio,mm_stress_ratio,avg_sub_iters,threshold_hit_rate,book_depleted_rate
calendar,6,600231,0.0,500,200,-10,2,,3443.0,5903.0,2035.0,0.09037859623680099,0.013513588372050946,2.6303433130617285e-05,8.076728886219928e-05,0.000297095594098819,4.788249570783999,3436.0,2460.0,1119.0,914.0,299,200,3443.0,-7.0,3.5052373671013735,3.9626333361195525,0.0,1.0,1.0,0.0
event_time,6,600231,0.0,500,200,-10,2,11.0,3443.0,8780.0,3113.0,0.052609438798275454,0.03235070879386414,1.5249112695152305e-05,4.4358717367854516e-05,0.00028026317557374597,1.6233937520743713,3450.0,3444.0,1186.0,1258.0,195,198,3443.0,7.0,1.643992786550904,1.6263478035722767,0.0,1.588,1.0,0.0
calendar,7,700231,0.0,500,200,-10,2,,3178.0,6477.0,2187.0,0.041036866239853434,0.013781232342277485,1.2982241771544901e-05,3.615582928621448e-05,0.0002087212700222487,3.0107057227644978,3161.0,3196.0,1135.0,1004.0,299,192,3178.0,-17.0,1.7616774859582143,2.7707143580072233,0.0,1.0,1.0,0.0
event_time,7,700231,0.0,500,200,-10,2,11.0,3178.0,9291.0,3092.0,0.026580460044819544,0.061262798264233476,8.342893924927666e-06,2.3564237628386122e-05,0.00021587229599173474,0.4330589208431836,3186.0,3180.0,1128.0,1016.0,180,168,3178.0,8.0,0.7279508998673029,0.7894259497716224,0.0,1.584,1.0,0.0
calendar,8,800231,0.0,500,200,-10,2,,4056.0,6617.0,2148.0,0.5286659976059626,0.06058055775826446,0.00013047038440423556,0.00040792129444904517,0.0006612410191170263,5.515542489180203,4052.0,2561.0,1296.0,850.0,299,200,4056.0,-4.0,1.9145031161137085,2.135088084912953,0.0,1.0,1.0,0.0
event_time,8,800231,0.0,500,200,-10,2,14.0,4056.0,10603.0,3416.0,0.4244401133567428,0.07177294256387179,0.00010436196541842704,0.00033579122892147373,0.0007463188309874618,5.920920668616397,4067.0,4072.0,1264.0,1350.0,188,193,4056.0,11.0,2.2399572415926845,1.9956736849608396,0.0,1.702,1.0,0.0
calendar,9,900231,0.0,500,200,-10,2,,3903.0,6748.0,2165.0,0.0791560246461391,0.018048600005427285,2.032768994507938e-05,6.4042091137653e-05,0.00026085617881063656,3.2042523387000954,3894.0,2845.0,1236.0,926.0,299,200,3903.0,-9.0,2.315757631694651,2.3602498742247056,0.0,1.0,1.0,0.0
event_time,9,900231,0.0,500,200,-10,2,13.0,3903.0,10030.0,3469.0,0.14563062996232357,0.05078062199941427,3.716015053899555e-05,0.0001104936494403062,0.00043965053952282174,2.8641795289728345,3919.0,3914.0,1318.0,1345.0,193,193,3903.0,16.0,1.440761619351899,1.7364083742668799,0.0,1.792,1.0,0.0
calendar,10,1000231,0.0,500,200,-10,2,,3998.0,6742.0,2173.0,0.07979580022647995,0.017389256164010013,2.0008976987582736e-05,6.487463433047151e-05,0.0002590513250297993,3.157387738279997,3988.0,2744.0,1230.0,940.0,299,200,3998.0,-10.0,2.1163944963461545,2.0285186245571256,0.0,1.0,1.0,0.0
event_time,10,1000231,0.0,500,200,-10,2,13.0,3998.0,10075.0,3438.0,0.15915680760142528,0.027712341946862448,3.97792570860848e-05,0.00011634269561507697,0.0004524073784125484,5.509197593073814,4001.0,3838.0,1368.0,1393.0,195,200,3998.0,3.0,2.0814146923010397,2.315441340015838,0.0,1.622,1.0,0.0
calendar,11,1100231,0.0,500,200,-10,2,,3392.0,5660.0,1962.0,0.04708368294244156,0.02483403164073306,1.3921845932123464e-05,4.090676189612646e-05,0.0002160493012404964,1.2714304365571691,3382.0,2268.0,1151.0,809.0,299,200,3392.0,-10.0,1.4956057600366977,1.5004753642352335,0.0,1.0,1.0,0.0
event_time,11,1100231,0.0,500,200,-10,2,11.0,3392.0,9026.0,3266.0,0.07668339449315444,0.010145718778281911,2.2547307995634943e-05,6.438572165672076e-05,0.000346265837359926,7.587090207896244,3401.0,3414.0,1191.0,1320.0,189,190,3392.0,9.0,3.4143682909017468,4.797799152657429,0.0,1.562,1.0,0.0
calendar,12,1200231,0.0,500,200,-10,2,,3732.0,7166.0,2234.0,0.19849862483997888,0.017241057224904863,5.343166213727561e-05,0.00016694585772916641,0.00042324295682546077,10.642287699662857,3715.0,3434.0,1189.0,1040.0,299,200,3732.0,-17.0,4.570312146422295,3.927218581544369,0.0,1.0,1.0,0.0
event_time,12,1200231,0.0,500,200,-10,2,12.0,3732.0,9476.0,3214.0,0.12632141240983558,0.04590232492180428,3.383005152914718e-05,0.00010320376830868919,0.00042265285915226195,2.7276398489111044,3734.0,3701.0,1224.0,1261.0,190,200,3732.0,2.0,1.3186233006969221,1.4394405271760637,0.0,1.67,1.0,0.0
calendar,13,1300231,0.0,500,200,-10,2,,4135.0,7126.0,2271.0,0.11810872399590919,0.0135298169814262,2.862547842848017e-05,9.24892122129281e-05,0.00030968418502625247,6.328155596606273,4126.0,2991.0,1277.0,991.0,299,200,4135.0,-9.0,4.003688513022008,4.08658063323064,0.0,1.0,1.0,0.0
event_time,13,1300231,0.0,500,200,-10,2,14.0,4135.0,10337.0,3735.0,0.14114323256107209,0.010450801451088489,3.408433532022992e-05,9.808424778392778e-05,0.0004117069467473972,13.485919854519182,4141.0,4135.0,1439.0,1516.0,202,194,4135.0,6.0,3.1119075624643906,3.3050499381474614,0.0,1.754,1.0,0.0
calendar,14,1400231,0.0,500,200,-10,2,,3682.0,6259.0,2033.0,0.2131863455411985,0.025774329238129178,5.800988994318327e-05,0.00017810053929924688,0.0004409791611634338,5.800014039387584,3675.0,2577.0,1197.0,833.0,299,200,3682.0,-7.0,2.149547565935821,1.660222686698205,0.0,1.0,1.0,0.0
event_time,14,1400231,0.0,500,200,-10,2,12.0,3682.0,9847.0,3238.0,0.04124896333952252,0.11455133545984887,1.1172525281560813e-05,3.605678613594626e-05,0.0002449932113059845,0.3593112349876898,3692.0,3684.0,1144.0,1150.0,187,178,3682.0,10.0,0.711705312481366,0.7091938523240557,0.0,1.564,1.0,0.0
calendar,15,1500231,0.0,500,200,-10,2,,3686.0,6115.0,2098.0,0.03364583833901176,0.022537787344074495,9.137924589628398e-06,2.6430352190896905e-05,0.00017504616759732194,0.9848356494444089,3682.0,2429.0,1273.0,824.0,299,200,3686.0,-4.0,1.3307568884211294,1.2656474346077151,0.0,1.0,1.0,0.0
event_time,15,1500231,0.0,500,200,-10,2,12.0,3686.0,9978.0,3300.0,0.01807937340413244,0.08434602816573208,4.895579042548724e-06,1.3492069704576447e-05,0.00015898397661956082,0.21469589591872204,3693.0,3699.0,1340.0,1204.0,193,187,3686.0,7.0,1.8071186705996656,1.1465835877847252,0.0,1.592,1.0,0.0
calendar,16,1600231,0.0,500,200,-10,2,,3216.0,5622.0,1982.0,0.03282119602659658,0.030067283018170264,1.0218305114133431e-05,2.8343001750083405e-05,0.00018511439583202027,0.8176741517490513,3212.0,2406.0,1158.0,821.0,299,200,3216.0,-4.0,1.04551354441325,1.0582353270704137,0.0,1.0,1.0,0.0
event_time,16,1600231,0.0,500,200,-10,2,11.0,3216.0,9760.0,3029.0,0.3951347106619533,0.06103547988847703,0.0001224844112405311,0.00041418732773789655,0.0008749400079619905,6.46983888227384,3226.0,3224.0,954.0,1094.0,161,173,3216.0,10.0,3.729961483772798,3.488934408858712,0.0,1.426,1.0,0.0
calendar,17,1700231,0.0,500,200,-10,2,,3549.0,6258.0,2048.0,0.22181072150858774,0.036433120389071316,6.274702164316485e-05,0.00019338336661603117,0.0004587309040295328,4.665580855469731,3535.0,2709.0,1147.0,898.0,299,200,3549.0,-14.0,1.942327256487865,2.2090371439649137,0.0,1.0,1.0,0.0
event_time,17,1700231,0.0,500,200,-10,2,12.0,3549.0,9907.0,3269.0,0.06416212878992716,0.03327051835335894,1.8053497127160148e-05,5.346844065827264e-05,0.0003062600456700321,1.9301256966851066,3554.0,3557.0,1200.0,1116.0,193,165,3549.0,5.0,1.6629371836649935,1.9242876249156733,0.0,1.612,1.0,0.0
calendar,18,1800231,0.0,500,200,-10,2,,3752.0,5980.0,2040.0,0.20129765054963122,0.017111101789961797,5.396719853877513e-05,0.00016663712793843645,0.00042539348561623547,7.026952686289224,3730.0,2228.0,1208.0,826.0,299,200,3752.0,-22.0,2.87756519317038,2.439091790988284,0.0,1.0,1.0,0.0
event_time,18,1800231,0.0,500,200,-10,2,13.0,3752.0,10232.0,3390.0,0.15316112233146117,0.017302133824060612,4.066944299826372e-05,0.00012903211653872044,0.00047619483383332366,8.838047029191621,3766.0,3760.0,1187.0,1354.0,180,191,3752.0,14.0,2.898854621938964,3.7768322597283306,0.0,1.63,1.0,0.0
calendar,19,1900231,0.0,500,200,-10,2,,3546.0,6216.0,2058.0,0.09217598944715788,0.024183730187771348,2.6045772660965776e-05,7.864845515969102e-05,0.00029563732385611176,2.8755781174795567,3539.0,2670.0,1172.0,883.0,299,199,3546.0,-7.0,2.144519448687719,1.5458054583295777,0.0,1.0,1.0,0.0
event_time,19,1900231,0.0,500,200,-10,2,12.0,3546.0,9430.0,3429.0,0.028819974674660055,0.021812549941834916,8.11601652341877e-06,2.4300147280489085e-05,0.00021099466672095703,1.3257213038597855,3551.0,3563.0,1186.0,1328.0,182,189,3546.0,5.0,1.6618080246011684,1.6235090528653962,0.0,1.71,1.0,0.0
calendar,20,2000231,0.0,500,200,-10,2,,3887.0,6342.0,2163.0,0.059092056171500866,0.010883864675206783,1.5249562882967966e-05,4.612963011046126e-05,0.0002259244811145137,3.439740345027078,3875.0,2455.0,1281.0,878.0,299,200,3887.0,-12.0,3.1763813423548695,2.4708594345388715,0.0,1.0,1.0,0.0
event_time,20,2000231,0.0,500,200,-10,2,13.0,3887.0,11032.0,3485.0,0.22024454538485244,0.012301615916145847,5.6632693593430814e-05,0.000192353314746596,0.0005666321867126498,17.917513864286345,3889.0,3892.0,1145.0,1326.0,177,178,3887.0,2.0,7.197005483439774,10.324951676178769,0.0,1.512,1.0,0.0
calendar,21,2100231,0.0,500,200,-10,2,,3837.0,5962.0,1960.0,0.2722613118094083,0.021016370976469342,7.110506968122443e-05,0.00022956265751214867,0.0004884301319669537,7.1895503730868775,3829.0,2125.0,1186.0,772.0,299,200,3837.0,-8.0,3.1636946950695273,3.2840728335460168,0.0,1.0,1.0,0.0
event_time,21,2100231,0.0,500,200,-10,2,13.0,3837.0,9478.0,3433.0,0.026857896689941402,0.053324197562662976,6.970645390589515e-06,1.937799183978456e-05,0.00018479203728018816,0.49922725623445907,3853.0,3819.0,1386.0,1383.0,205,200,3837.0,16.0,0.7857103769283561,1.0162780232477984,0.0,1.822,1.0,0.0
calendar,22,2200231,0.0,500,200,-10,2,,3243.0,5690.0,1980.0,0.03568418617063723,0.0514243016293361,1.1037484123302578e-05,3.1467536305676574e-05,0.00019232321939279342,0.5252132067675369,3233.0,2447.0,1134.0,842.0,299,200,3243.0,-10.0,0.8263219250735645,1.0492236820766148,0.0,1.0,1.0,0.0
