fast_share,lag,run,vol_ratio,spread_ratio,max_drawdown,mm_panic_ratio
0.8,1,3,1.2621518504909564,1.1788182137244927,0.10541871921182269,1.0
0.8,1,4,0.8764478701862545,0.9396556977298769,0.13027179006560455,1.0
0.8,1,5,1.0809947413532397,1.1409741053162519,0.10652173913043475,1.0
0.8,1,6,1.4848609943404831,1.636396736161909,0.1184466019417476,0.9533333333333334
0.8,1,7,1.4343300074377852,1.1817869218702075,0.10985626283367558,1.0
0.8,1,8,1.4503745714609442,1.503505080836965,0.08745583038869263,1.0
0.8,1,9,1.5797871315233922,1.632733094904598,0.142550911039657,1.0
0.8,1,10,1.4466551797123572,1.593442283712688,0.1385199240986718,1.0
0.8,1,11,1.1026354200222408,1.2220907193242327,0.09648241206030145,1.0
0.8,1,12,1.1540187074807462,1.8729304151488018,0.12672811059907835,0.99
0.8,1,13,1.6445994244711934,1.8554229627650294,0.17326732673267325,1.0
0.8,1,14,1.1160291126111528,1.4041768193466706,0.0982419855222337,1.0
0.8,1,15,0.9532171286507138,1.001475082644118,0.11852589641434268,1.0
0.8,1,16,1.2821428495154394,1.3941460038439308,0.09325396825396817,1.0
0.8,1,17,1.2383874434890156,1.228436024804321,0.11249999999999998,1.0
0.8,1,18,1.3464049417712745,1.6331594248781225,0.10309278350515463,1.0
0.8,1,19,1.1396431431922043,1.269781118169343,0.10256410256410256,1.0
0.9,1,0,2.2421012180351068,2.9962362572540813,0.11919191919191917,0.9733333333333334
0.9,1,1,1.4647025729352783,1.4355747574020532,0.09528487229862478,1.0
0.9,1,2,1.0632684323610746,1.4392764096052566,0.10327706057596828,1.0
0.9,1,3,1.0766197356762253,1.2056612885391427,0.10729166666666663,1.0
0.9,1,4,1.2058883316187268,1.230023280715599,0.10821643286573143,1.0
0.9,1,5,1.5670459373885792,1.5519727441864797,0.1158605174353207,1.0
0.9,1,6,1.083738465771683,1.3602565035039083,0.125,1.0
0.9,1,7,1.8272047625254666,1.803070207017549,0.10638297872340426,1.0
0.9,1,8,1.7014173045041794,1.3798956559465045,0.10841121495327098,1.0
0.9,1,9,1.1439106317431682,1.333993089574839,0.12115732368896918,1.0
0.9,1,10,1.3993061133422575,1.2946284737176115,0.09463414634146344,1.0
0.9,1,11,1.8100966905877964,1.9000109959634628,0.1841004184100418,1.0
0.9,1,12,1.3434906957939228,2.129718946983832,0.10805300713557589,0.7633333333333333
0.9,1,13,1.9057290164498482,2.321977424055818,0.11234817813765177,1.0
0.9,1,14,1.1392465781031713,1.142888798432585,0.10189075630252103,1.0
0.9,1,15,1.8647173864559514,1.8371228244907716,0.10505836575875484,0.9633333333333334
0.9,1,16,1.7796490250272667,1.0400576796161574,0.10400000000000002,1.0
0.9,1,17,1.552928010327315,1.176028642290789,0.08467741935483876,1.0
0.9,1,18,1.1977939893417398,1.1569248701364583,0.11153119092627597,1.0
0.9,1,19,1.7272448609687676,2.0244384161638607,0.19289340101522842,0.9933333333333333
1.0,1,0,0.9525310441486982,1.1100284019845097,0.09508881922675035,1.0
1.0,1,1,1.449307161228994,1.4638633572970425,0.1273584905660377,1.0
1.0,1,2,1.2906675036900237,1.0770621139810987,0.09246575342465752,1.0
1.0,1,3,1.2548402768027105,1.113782708029845,0.09742647058823524,1.0
1.0,1,4,2.209083052866543,3.9347940664884127,0.11075949367088608,0.9833333333333333
1.0,1,5,1.8436659982237225,1.4915307866859007,0.10565338276181654,1.0
1.0,1,6,1.4460396476118307,1.8238533310538085,0.10412147505423003,1.0
1.0,1,7,1.5728588953936353,1.5206411271952303,0.09929789368104318,0.9933333333333333
1.0,1,8,1.17465258951232,1.1444393278065617,0.1314741035856574,1.0
1.0,1,9,1.0075548903108567,1.2568499086001943,0.10038986354775827,1.0
1.0,1,10,1.323127199275988,1.0373820010233532,0.11003236245954695,1.0
1.0,1,11,1.0776976397569022,1.195549456386102,0.09873949579831938,1.0
1.0,1,12,1.1211073334123642,1.2748095174952105,0.09794319294809012,1.0
1.0,1,13,1.38779302884441,1.5426111861911642,0.11732355637030245,1.0
1.0,1,14,1.8164566100566077,1.936738811406457,0.10625000000000002,0.96
1.0,1,15,1.4553919682567504,1.419962427214388,0.09471766848816021,1.0
1.0,1,16,1.1775933437164028,1.0729362514271432,0.10839843750000008,1.0
1.0,1,17,1.111547073411514,0.9205498015002269,0.09433962264150944,1.0
1.0,1,18,1.5100316468587929,1.0822829359339334,0.08836789900811552,0.5366666666666666
1.0,1,19,1.251499244094698,1.4273930494476341,0.09898989898989896,1.0
0.0,2,0,1.9558538423533687,1.9811384716172709,0.10914179104477614,1.0
0.0,2,1,1.4565710015737516,0.9901407845352493,0.11,0.36333333333333334
0.0,2,2,0.8866349312510684,1.0436032655711012,0.09532888465204957,1.0
0.0,2,3,1.6236402418296465,1.992906273082912,0.11275026343519497,0.5966666666666667
0.0,2,4,1.614480209481946,1.3334935875175902,0.11405295315682283,1.0
0.0,2,5,2.8164844703704186,3.0035477623526368,0.10521140609636187,0.08
0.0,2,6,2.4793040490905933,2.483868143618765,0.10253807106598979,0.8066666666666666
0.0,2,7,1.2122067886001198,1.5218482035363772,0.10714285714285716,1.0
0.0,2,8,2.393504105352638,2.099483519736491,0.11415094339622636,0.84
0.0,2,9,1.5622945421092231,1.41363301702033,0.1134020618556701,0.8933333333333333
0.0,2,10,1.3412321680438752,1.0632113736695425,0.10227272727272718,0.0
0.0,2,11,1.822122643487763,1.9444058793466383,0.14498510427010933,0.9333333333333333
0.0,2,12,1.8708905733373047,1.8980703682105122,0.10852713178294576,0.9666666666666667
0.0,2,13,1.213298884692228,1.4933680416879789,0.10796645702306092,1.0
0.0,2,14,1.154837128519778,1.0086371219891737,0.1044932079414838,1.0
0.0,2,15,1.5290554056833712,1.5998502033377302,0.12024048096192386,1.0
0.0,2,16,1.1921501423753658,1.334249432383045,0.10886644219977541,1.0
0.0,2,17,1.475956344330086,1.1679789392950115,0.0865168539325843,1.0
0.0,2,18,1.6061241219435913,1.6755205041131187,0.1224279835390947,0.5066666666666667
0.0,2,19,1.5857515437340002,1.4274075046078496,0.10615711252653927,0.99
0.1,2,0,1.2870337373783758,1.3101911682264888,0.13145539906103287,1.0
0.1,2,1,1.1982738379067348,1.0115618326755418,0.09354536950420954,1.0
0.1,2,2,1.3318113020437299,1.3561631808093682,0.09205426356589147,1.0
0.1,2,3,1.5028422904248773,1.3498768235008092,0.09107468123861567,0.92
0.1,2,4,1.5121459332356368,2.0433208504617775,0.2379935965848452,0.9866666666666667
0.1,2,5,1.5216748844979575,1.3013746268110864,0.09528301886792448,1.0
0.1,2,6,1.2118815452758422,1.0617392212279082,0.09902912621359226,0.89
0.1,2,7,1.8561009726599982,2.3950705255597193,0.13894736842105265,0.9666666666666667
