fast_share,run,vol_ratio,spread_ratio,recovery_time,max_drawdown,mm_panic_ratio
0.2,14,1.2880053007958374,1.3163802486536191,12,0.10344827586206902,1.0
0.2,15,1.1817261916507373,1.0690052616996584,21,0.09734513274336289,1.0
0.2,16,1.5315671532296504,2.063488776803202,9,0.19563152896486224,0.5366666666666666
0.2,17,1.1045001808851906,1.41454693031708,12,0.14394661582459492,1.0
0.2,18,1.1809382188409487,1.1122303403547913,12,0.0949667616334283,1.0
0.2,19,1.1707670201866966,1.840744879481401,290,0.10795454545454546,0.99
0.2,20,1.3322980253535304,1.123345620834034,17,0.0779352226720648,1.0
0.2,21,1.9557302724355732,2.315696092356586,18,0.09161041465766634,0.9166666666666666
0.2,22,1.6527380402893157,1.4628360595480279,10,0.1987060998151571,0.6766666666666666
0.2,23,1.8766456349473295,1.747781932809198,78,0.11646586345381521,1.0
0.2,24,1.507668387018877,1.5738232241820969,20,0.09514747859181732,0.41
0.2,25,1.2372897762600916,1.1387928450364722,16,0.09090909090909094,1.0
0.2,26,1.1274376566068665,1.418764018733636,300,0.10585817060637202,1.0
0.2,27,1.2124584365136466,1.913206710652347,300,0.12925851703406804,0.6133333333333333
0.2,28,1.8930338641050766,3.8729706397633543,300,0.11643090315560393,1.0
0.2,29,1.282547724668111,1.5836097586129747,300,0.09748427672955987,1.0
0.3,0,1.387573801715165,1.5071524527438522,8,0.0948275862068966,0.9933333333333333
0.3,1,1.4154364180538441,1.3254948861127545,10,0.09235074626865676,1.0
0.3,2,3.0353557700796037,3.2883369073676203,16,0.11180124223602482,0.9733333333333334
0.3,3,1.2983525074987472,1.5190887949171554,190,0.11434977578475339,1.0
0.3,4,1.6827588190232674,1.6405796161676889,33,0.092741935483871,0.9933333333333333
0.3,5,1.1572329421609975,1.1074752270387846,38,0.11517165005537089,1.0
0.3,6,1.073105836695767,1.1531799946984642,5,0.06330275229357804,1.0
0.3,7,1.0169861990191962,0.8426695798068975,9,0.08241758241758242,1.0
0.3,8,1.2535876380822937,1.2555349812126013,54,0.10526315789473684,1.0
0.3,9,0.9851231333854529,0.9593116350735912,13,0.10095642933049948,1.0
0.3,10,2.3928870221999996,1.8507989487789325,13,0.11410018552875693,1.0
0.3,11,1.3819102603338254,1.2433698569340645,14,0.13554502369668245,1.0
0.3,12,1.2694753699880876,1.1859159614221215,22,0.09603340292275578,1.0
0.3,13,1.8223536027797795,1.6508353524444095,14,0.09049773755656108,1.0
0.3,14,1.1285560498762066,1.2948628391104862,10,0.13430127041742285,1.0
0.3,15,1.273087097852081,1.5603765345542338,30,0.10601427115188575,1.0
0.3,16,1.5063861878176432,1.6513739839115185,13,0.11219512195121951,0.9266666666666666
0.3,17,1.9308304890014032,2.1657742203600554,23,0.10479041916167664,0.8566666666666667
0.3,18,1.3038234574387284,1.5228698900570141,15,0.10388247639034619,1.0
0.3,19,1.366806023610905,1.372094601641949,13,0.09573459715639805,1.0
0.3,20,1.2582831746402523,1.47287389223242,9,0.12384473197781891,1.0
0.3,21,2.0260886212411964,2.8183102896276324,32,0.18808777429467083,0.99
0.3,22,1.407388154037758,1.8342626343558321,21,0.1382878645343368,1.0
0.3,23,1.4917775855178086,1.7347688642965056,33,0.11795407098121083,0.9933333333333333
0.3,24,1.4432519181527375,1.0836518652283675,10,0.09000900090009001,0.7533333333333333
0.3,25,1.753829673718472,1.7953903872169172,15,0.1258405379442843,1.0
0.3,26,1.7088767806220395,1.8992569509401802,10,0.0990196078431372,1.0
0.3,27,1.3330899747151512,1.291320005995299,13,0.09018036072144289,1.0
0.3,28,0.8513821687702428,1.081810990909997,300,0.12600806451612903,1.0
0.3,29,0.9982337763063448,1.024272970904518,149,0.10785340314136123,1.0
0.4,0,1.6436410233523209,1.8723438117866962,10,0.11099999999999995,1.0
0.4,1,1.273942615153292,1.6392187408520458,10,0.1043129388164494,0.9866666666666667
0.4,2,1.2146812764365433,1.3773944908740323,10,0.09160305343511445,1.0
0.4,3,1.0505504349111676,1.2572854457447105,50,0.09925093632958797,0.5033333333333333
0.4,4,1.6647106988325073,1.64307655212275,22,0.0984615384615384,1.0
0.4,5,0.9915684366836085,1.099007533785866,300,0.10635964912280704,1.0
0.4,6,1.4114653106218258,1.278743761387163,8,0.10702702702702709,1.0
0.4,7,1.7458489404331867,2.2312201777512484,17,0.10152284263959391,0.9966666666666667
0.4,8,1.5693218145711978,1.7593790374723255,13,0.10769230769230773,1.0
0.4,9,1.3459629204665362,1.3978581754131851,54,0.09488272921108733,0.99
0.4,10,1.1433743849485745,1.1457865172327246,9,0.11625615763546795,1.0
0.4,11,1.4162507608373556,1.8203949864319193,300,0.11413043478260869,0.88
0.4,12,1.1275981722802786,1.4946547903027643,263,0.11695278969957087,1.0
0.4,13,1.0284900400679966,1.247710779164135,54,0.10123966942148757,1.0
0.4,14,1.4139495643325337,1.4830650612023288,145,0.13051823416506725,0.95
0.4,15,1.6319276516242738,1.5367869279930426,12,0.14556962025316453,1.0
0.4,16,1.3293207028675136,1.5977072896707474,19,0.10994263862332697,0.9466666666666667
0.4,17,1.1162128056343434,1.2486067066173079,19,0.11434302908726184,1.0
0.4,18,1.0297481563585082,1.1187458915471753,28,0.0927734375,1.0
0.4,19,2.0294936470581337,1.8427050688456679,18,0.12262357414448674,0.7233333333333334
0.4,20,0.8908389106105443,1.1320232462130977,300,0.22799999999999998,1.0
0.4,21,1.2844476988666123,1.1993425071353894,3,0.11630036630036632,1.0
0.4,22,1.3529946916586697,1.9820588328458262,16,0.08860759493670878,1.0
0.4,23,1.6333181187857613,1.3646016056714512,3,0.13591269841269846,1.0
0.4,24,1.0929626301006778,1.4391032287271244,8,0.10119047619047622,1.0
0.4,25,1.0409060069539682,1.5422848398055957,139,0.11052072263549408,1.0
0.4,26,1.7214883887213004,1.5204758626456856,101,0.10785340314136123,1.0
0.4,27,2.028150341571701,1.81917764164828,16,0.11267605633802817,0.9966666666666667
0.4,28,1.011674636612218,1.1650541342078264,75,0.10020449897750508,1.0
0.4,29,2.0430049489542017,1.608904647550574,19,0.12512315270935964,1.0
0.5,0,1.4473411619356786,1.4401585193959605,9,0.12307692307692306,1.0
0.5,1,1.4044771264866427,1.4132846278704072,51,0.10736842105263161,0.9933333333333333
0.5,2,1.3931407065794637,1.5373097481681972,6,0.09205776173285202,1.0
0.5,3,1.2041873941593744,1.466726338126511,106,0.10476190476190482,1.0
0.5,4,0.83984623008276,1.170409099912382,300,0.13675213675213677,1.0
0.5,5,1.272264297330216,1.542211362732417,300,0.12108559498956153,0.9833333333333333
0.5,6,1.0805530316882968,1.4510163479354656,300,0.08904810644831118,0.9966666666666667
0.5,7,1.5070039771886798,1.3885902216369546,152,0.11431513903192579,1.0
0.5,8,1.4058377487923335,1.8505842299972295,300,0.10337768679631533,1.0
0.5,9,1.437872512139966,1.3554332427829032,18,0.09406392694063924,1.0
0.5,10,1.1446494840441057,1.3519529643366754,4,0.08983666061705994,1.0
0.5,11,1.4729641031961114,2.152224989721124,13,0.17490494296577952,1.0
0.5,12,1.2599310403477815,1.118562791575293,24,0.12288135593220348,1.0
0.5,13,1.167274365501004,1.2232275992778774,14,0.09775171065493646,1.0
0.5,14,1.1132158634689722,1.2166551053287726,300,0.16263736263736261,1.0
0.5,15,1.5622793733897264,1.4996659183279781,13,0.15133531157270028,1.0
0.5,16,1.1311208774048083,1.479587010599666,15,0.09849246231155775,1.0
0.5,17,1.3020650674029977,1.349884759650444,134,0.10939112487100111,1.0
0.5,18,1.2293390546798517,0.9665403695078029,0,0.07824591573516762,1.0
0.5,19,1.0597735652019344,1.101904092860507,300,0.11693989071038255,1.0
0.5,20,1.323109681538425,1.6062873877163923,32,0.10330578512396695,0.9666666666666667
0.5,21,1.1616041255511742,0.9610011583508844,10,0.1029684601113172,1.0
0.5,22,1.5892738196995428,1.221440112821283,11,0.10536044362292056,1.0
0.5,23,1.2511716908787949,1.8398055087909573,300,0.12808460634547583,1.0
0.5,24,1.6300822316324497,1.9367490125428717,11,0.10214007782101167,1.0
0.5,25,1.3549701294410745,1.6880157645635263,10,0.09302325581395357,0.9866666666666667
0.5,26,1.2934413731488874,1.5256358027554615,32,0.10474308300395264,0.9766666666666667
0.5,27,1.0268837186421917,1.3794926254504494,300,0.12023121387283243,1.0
0.5,28,1.487070183663337,1.6792233156652467,8,0.09869083585095667,0.9966666666666667
0.5,29,1.3568897172816141,1.2400623374878208,60,0.10598111227701988,1.0
0.6,0,2.1316741858881136,2.357744993750696,11,0.13636363636363644,1.0
0.6,1,1.0825329596785203,1.4352489023944723,14,0.1139630390143738,1.0
0.6,2,1.8567552009311732,1.551123858171425,16,0.09950248756218906,0.99
0.6,3,1.0623504865015432,1.111095445752802,114,0.1066799601196411,1.0
0.6,4,1.2548988863599386,1.4813436682944798,82,0.10224948875255624,1.0
0.6,5,0.9296024369955392,1.1497394033781176,257,0.1019108280254778,1.0
0.6,6,1.4471411360686544,1.2549132024125953,111,0.11868131868131865,1.0
0.6,7,1.0930464742935535,0.974816551492777,156,0.10839843750000008,1.0
0.6,8,1.8721409101203008,1.3976141507430722,18,0.12832699619771862,0.97
0.6,9,1.614440177712681,1.8536076390872036,12,0.13126252505010014,1.0
0.6,10,0.9053632556943775,1.2375809450179902,300,0.1326424870466321,1.0
0.6,11,0.9594228807870463,1.094704462595442,9,0.10080645161290322,1.0
0.6,12,1.0691654844677776,1.2268568880663402,300,0.10455486542443058,1.0
0.6,13,1.0502408847752867,1.1609078303349092,300,0.12097669256381789,1.0
0.6,14,1.0681202505624245,1.363520820063522,89,0.11651469098277609,1.0
0.6,15,1.0067469121362453,1.2942174132771727,6,0.10638297872340426,1.0
0.6,16,1.2345085894657846,1.2934309469648237,10,0.12608277189605396,1.0
0.6,17,1.45957889344772,1.941798817444877,4,0.09330819981149852,1.0
0.6,18,1.249187030128262,1.269731086866441,85,0.1054766734279918,1.0
0.6,19,1.553024635586286,1.7903839415506195,13,0.12703252032520324,1.0
0.6,20,1.4503063057633458,1.4549877255568555,15,0.11167002012072443,1.0
0.6,21,1.0340670450872746,1.2963026661257397,16,0.08826479438314942,1.0
0.6,22,1.2471402600053705,1.2465042591552336,300,0.22535211267605637,1.0
0.6,23,1.3637966735846703,1.3085105789735327,6,0.10366972477064218,1.0
0.6,24,1.3177309318403623,1.5219836520808376,7,0.12465627864344633,1.0
0.6,25,2.0215168088721063,2.265757628335458,109,0.11589743589743587,0.98
0.6,26,0.9482701856353598,1.2447421200158582,145,0.1107561235356763,0.9866666666666667
0.6,27,1.5278364861570102,1.3422603492046354,5,0.13560804899387577,1.0
0.6,28,1.2300491355206205,1.3591338308987064,5,0.11907164480322904,1.0
0.6,29,1.366174269608276,1.8676957761890807,300,0.10278372591006432,1.0
0.7,0,1.191828862804399,1.1993378188943973,201,0.10364683301343568,1.0
0.7,1,1.528174470142475,1.9474425989308373,6,0.07824427480916034,1.0
0.7,2,1.7645352937798013,2.8935387388166727,13,0.10216718266253876,0.9966666666666667
0.7,3,1.5503724023399934,1.431934920382931,300,0.09619047619047613,0.7366666666666667
0.7,4,1.1479740152294176,1.816007990256293,82,0.10942578548212345,0.99
0.7,5,1.5482186535700067,1.6163133970148933,12,0.08683206106870224,1.0
0.7,6,1.497203129912593,1.2390138706920724,12,0.0988372093023256,1.0
0.7,7,0.997930122815094,1.3458496682572585,17,0.11363636363636365,1.0
0.7,8,1.483971652691993,2.041505002307334,201,0.10933940774487465,1.0
0.7,9,1.7232991952276542,2.197437789286669,300,0.11251314405888527,0.99
0.7,10,1.0743092132984655,1.1847619570156747,218,0.11086474501108647,1.0
0.7,11,1.09092630401307,1.1185461632685152,10,0.09980430528375736,1.0
