hft_frac,info_lag,softlimit,metric,n_boot,n_base,n_delay,n_liquidity,n_combined,interaction_point,interaction_boot_mean,ci_low,ci_high,p_two_sided,ci_excludes_zero,positive_point
0.4,3,20,acf_abs_ret_1,1000,30,30,30,30,0.03856651504214659,0.040223704728937576,-0.030796148228447916,0.10861007367738222,0.268,False,True
0.4,3,20,acf_abs_ret_5,1000,30,30,30,30,-0.010180732461152087,-0.010634837605257687,-0.07344756485167712,0.051471127352695316,0.75,False,False
0.4,3,20,vol_persistence,1000,30,30,30,30,0.0008376826172465934,0.0008222126619636204,-0.006316937774348314,0.00799784195573486,0.824,False,True
0.4,3,20,high_vol_cluster_share,1000,30,30,30,30,0.024303232998885205,0.024244035674470442,-0.12221850613154957,0.1777591973244147,0.744,False,True
0.4,3,20,vol_ratio,1000,30,30,30,30,-0.29742299518231485,-0.31536990304473134,-1.1175255768986556,0.5073471989259414,0.428,False,False
0.4,3,50,acf_abs_ret_1,1000,30,30,30,30,0.045631845810786,0.04344224132204219,-0.022770851556065265,0.11428908448324654,0.206,False,True
0.4,3,50,acf_abs_ret_5,1000,30,30,30,30,-0.012955229578636207,-0.015256896512743463,-0.08114484288705305,0.04482946584268478,0.642,False,False
0.4,3,50,vol_persistence,1000,30,30,30,30,0.003487112816522142,0.0034231860693056024,-0.004653370724351647,0.01075651906705765,0.364,False,True
0.4,3,50,high_vol_cluster_share,1000,30,30,30,30,-0.023968784838349966,-0.021558305462653266,-0.19282608695652162,0.1371237458193979,0.792,False,False
0.4,3,50,vol_ratio,1000,30,30,30,30,-0.526227168087289,-0.5167257684822123,-1.425831748512743,0.3663837075035624,0.24,False,False
0.4,5,20,acf_abs_ret_1,1000,30,30,30,30,0.012292444478024689,0.0130079796715969,-0.06042319774038062,0.08428245204410771,0.718,False,True
0.4,5,20,acf_abs_ret_5,1000,30,30,30,30,-0.004585301003074277,-0.004530988317023326,-0.07914144922977612,0.06686339569840319,0.906,False,False
0.4,5,20,vol_persistence,1000,30,30,30,30,0.0004432147766159078,0.0005178647189611799,-0.006837552007051248,0.007969300992707377,0.892,False,True
