run,seed,hft_frac,info_lag,book_volume,speed_mult,softlimit,n_iter,shock_it,shock_dp,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio,acf_abs_ret_1,acf_abs_ret_5,vol_persistence,high_vol_cluster_share
11,11041320,0.4,1,300,2,100,500,200,-10,2.9312904337702883,2.666749204244532,0.09444985394352486,9,0.5733333333333334,0.3957925964270379,0.18628683156742643,0.9713939399578462,0.4782608695652174
12,12041320,0.4,1,300,2,100,500,200,-10,0.7653254726036648,0.650722072230943,0.447008547008547,13,1.0,0.42257429426256693,-0.036718521102887126,0.9466114944712503,0.07357859531772576
13,13041320,0.4,1,300,2,100,500,200,-10,1.4485978660900987,1.6124850611459263,0.5021910604732691,8,1.0,0.34429750340093157,0.09425530408413889,0.9635616893544958,0.2040133779264214
14,14041320,0.4,1,300,2,100,500,200,-10,1.146695740934775,1.0099250926096348,0.376,6,1.0,0.29588763619430963,0.014440433959331067,0.9361307018980437,0.09698996655518395
15,15041320,0.4,1,300,2,100,500,200,-10,2.4028493789772245,3.6268384410263437,0.28125,32,0.91,0.5630294139223126,0.29125451117966833,0.978832959594719,0.822742474916388
16,16041320,0.4,1,300,2,100,500,200,-10,4.351663010719125,4.728901796911822,0.26342710997442453,1,1.0,0.5556948581746696,0.19788487324341975,0.9706261845277084,0.6822742474916388
17,17041320,0.4,1,300,2,100,500,200,-10,3.8054284269186636,3.058675835444252,0.7009615384615385,38,1.0,0.3918236557501295,0.30780263261735236,0.9643498463150373,0.36454849498327757
18,18041320,0.4,1,300,2,100,500,200,-10,4.728139661709518,4.041102970693208,0.2880613362541073,150,1.0,0.41678018722912075,0.14449836196324237,0.961781608317605,0.6488294314381271
19,19041320,0.4,1,300,2,100,500,200,-10,3.7671443389481953,5.064710318914717,0.2025431425976385,38,0.95,0.43642418645506514,0.2637755809477443,0.9617430085208005,0.9364548494983278
20,20041320,0.4,1,300,2,100,500,200,-10,0.8386714517119669,3.142672951133825,0.10869565217391304,15,1.0,0.34846360381824026,0.42568909890698986,0.9776936883824321,0.1605351170568562
21,21041320,0.4,1,300,2,100,500,200,-10,1.250579007680521,1.9105304778042307,0.7021276595744681,16,1.0,0.277034447417498,0.16275126870612885,0.9509669736701734,0.15719063545150502
22,22041320,0.4,1,300,2,100,500,200,-10,3.134538173218948,3.686670511639827,0.411978221415608,284,0.8033333333333333,0.4252028826427995,0.2679349057858077,0.979355784496446,0.4080267558528428
23,23041320,0.4,1,300,2,100,500,200,-10,1.9460224874888616,2.742161225373793,0.6305882352941177,44,1.0,0.31016731778612344,0.3220965884138703,0.9698058734653222,0.27424749163879597
24,24041320,0.4,1,300,2,100,500,200,-10,4.877702994349237,3.437949444710006,0.36270871985157693,36,1.0,0.3305934023858713,-0.0024470172574639977,0.9548479549289303,0.6287625418060201
25,25041320,0.4,1,300,2,100,500,200,-10,0.8179217495910888,0.5800385122244175,0.09953917050691241,4,1.0,0.36694763679838943,0.14599248386465322,0.9636428385515583,0.0
26,26041320,0.4,1,300,2,100,500,200,-10,2.6803310585759945,3.354011579205743,0.3133047210300429,33,1.0,0.40291724362709563,0.1930926654655312,0.9758841618944314,0.5351170568561873
27,27041320,0.4,1,300,2,100,500,200,-10,0.8271174961656516,2.631507290928836,0.5215622457282344,34,1.0,0.6934047289610846,0.2752749104215238,0.9785643168105235,0.14381270903010032
28,28041320,0.4,1,300,2,100,500,200,-10,3.691913022808465,6.302679001592823,0.26175869120654394,10,0.98,0.4770781701867255,0.2511463583809259,0.972036911422446,0.8963210702341137
29,29041320,0.4,1,300,2,100,500,200,-10,2.6488044016379444,4.711018878173579,0.2637254901960785,38,0.5633333333333334,0.3523183836235444,0.2687725396454301,0.969700351764753,0.5852842809364549
30,30041320,0.4,1,300,2,100,500,200,-10,0.4141584486715379,0.3797573490548244,0.10020040080160321,5,1.0,0.26719887087559296,0.29086397877949716,0.9585655179690685,0.0
31,31041320,0.4,1,300,2,100,500,200,-10,1.4044499282610776,1.8246085686296454,0.1393129770992366,3,1.0,0.5321125894946542,0.035247931891280324,0.9613951113566264,0.2040133779264214
32,32041320,0.4,1,300,2,100,500,200,-10,2.8547783338703847,4.635412516993834,0.1337958374628345,106,0.8766666666666667,0.4537595324455248,0.23556125421619495,0.9602730196810758,0.6120401337792643
33,33041320,0.4,1,300,2,100,500,200,-10,0.9494850999889881,1.0765852668718683,0.3330241187384044,14,1.0,0.250503172776451,0.1821782240501697,0.971898203151278,0.17391304347826086
34,34041320,0.4,1,300,2,100,500,200,-10,4.256541593849515,6.002511271668815,0.18916155419222905,23,0.6766666666666666,0.3616034483211087,0.37245547545199514,0.9792648333313336,0.842809364548495
35,35041320,0.4,1,300,2,100,500,200,-10,3.5242478073685057,5.842573249703386,0.27519379844961245,31,1.0,0.5188154328076346,0.2527312837361878,0.9691507587313979,0.6020066889632107
36,36041320,0.4,1,300,2,100,500,200,-10,1.7955610588571422,2.144254076180069,0.22166499498495496,9,1.0,0.41946201439559105,0.0697245149865754,0.9632103856221517,0.48494983277591974
37,37041320,0.4,1,300,2,100,500,200,-10,0.7668957923816795,0.6177427219751145,0.26797385620915026,4,1.0,0.41591073068979856,0.017290544710364203,0.9425006883691689,0.043478260869565216
38,38041320,0.4,1,300,2,100,500,200,-10,1.2880789941810118,1.6339034655604883,0.20630372492836685,3,1.0,0.4206877437085698,0.2567397555564346,0.981230019703367,0.20066889632107024
39,39041320,0.4,1,300,2,100,500,200,-10,6.1499243120739635,10.256168861876178,0.25051546391752577,11,0.9766666666666667,0.5719743101719871,0.05684954798988787,0.9592459938481762,0.9832775919732442
40,40041320,0.4,1,300,2,100,500,200,-10,3.4390804471873984,5.355475514385741,0.2824287028518859,23,0.93,0.511346883957574,0.254881599724769,0.9660978509242143,0.5819397993311036
