grid,speed_mult,shock_dp,hft_frac,vol_ratio_mean,vol_ratio_std,spread_ratio_mean,spread_ratio_std,drawdown_mean,drawdown_std,recovery_mean,recovery_std,mm_panic_mean,mm_panic_std,n_runs
shock_magnitude,2,-5.0,0.6,2.4364116434303,1.5696111681176825,2.625199408130276,2.01565559426226,0.16251850355993794,0.0896169539831135,38.8,84.37616921284399,0.9488888888888888,0.16346425279323795,30
shock_magnitude,2,-5.0,0.7,2.765047801604094,1.7688017327582306,2.82661290160786,1.9780083208847017,0.19264994703917646,0.11726115922088462,15.066666666666666,32.8296893946185,0.9915555555555555,0.026140400952189915,30
shock_magnitude,2,-5.0,0.8,3.260022434427002,2.309842256612632,3.9407767431724063,6.115457124771347,0.23398019358260633,0.11270416344311679,20.233333333333334,29.26888819364265,0.9941111111111112,0.01884974533265642,30
shock_magnitude,2,-5.0,0.9,3.007170297572098,1.8029206743773667,3.0439065014391726,2.2766810796842254,0.2430139457233891,0.10928388255720659,36.9,79.47168222619972,0.9774444444444444,0.09693258443849484,30
shock_magnitude,2,-5.0,1.0,2.579366603085688,1.2481613654541677,2.7639869908709476,1.8117949594115281,0.2512970176272096,0.1487342423112586,25.033333333333335,56.59504263250195,0.9966666666666666,0.01763834207376394,30
shock_magnitude,2,-2.0,0.0,1.7605412193632353,0.7399875885793937,1.9649615783362966,0.9741113602429762,0.09164658833712194,0.052207298149315275,3.8666666666666667,13.27360183775024,0.9441111111111111,0.1643346817070264,30
shock_magnitude,2,-2.0,0.1,1.988215512249705,1.2145875564457216,2.2141433275964504,1.713159678482096,0.09771862845067689,0.050335909286551815,1.9333333333333333,2.638355461311058,0.8845555555555555,0.2691457798854377,30
shock_magnitude,2,-2.0,0.2,1.796810588476753,0.6455763273675572,1.9136781458147134,0.8983759583880747,0.11320269218116942,0.0548745665406065,16.266666666666666,52.613708278837144,0.9375555555555555,0.16450304433786025,30
shock_magnitude,2,-2.0,0.3,2.379574019251569,1.1313593232218524,2.4899081051562617,1.323699593865171,0.12170390149052479,0.056185756273184034,17.966666666666665,57.47952159072699,0.9718888888888889,0.07827490280214054,30
shock_magnitude,2,-2.0,0.4,2.081380511692633,1.159092558685951,2.160387862461629,1.4694366454174375,0.10199005820248767,0.06526965730139486,12.766666666666667,45.56593050721675,0.9073333333333333,0.273857641235068,30
shock_magnitude,2,-2.0,0.5,2.5776209973796513,1.503018093209093,2.7954607991026554,2.135756678217047,0.13684004999813315,0.08687294428563877,21.166666666666668,65.50813760101886,0.977,0.06018712837024159,30
shock_magnitude,2,-2.0,0.6,2.8132732250987247,1.9886987173915713,3.223936688525114,2.829778140944843,0.13906577239809334,0.07724092487139918,7.0,16.379128855618834,0.8994444444444445,0.22589979016802245,30
shock_magnitude,2,-2.0,0.7,2.737491917275335,1.4714269247666663,3.011471819846178,1.9956386209443113,0.14099340587138218,0.07142840538628853,2.7333333333333334,7.473785604656305,0.9341111111111111,0.17180734852265692,30
shock_magnitude,2,-2.0,0.8,2.4291796818131037,1.271097785477367,2.8220765353593364,1.8631517233373762,0.20247867838062522,0.11729780532727589,6.6,15.812696775387328,0.9522222222222222,0.1553918131083435,30
shock_magnitude,2,-2.0,0.9,2.956744718488929,2.222107623775614,2.852077141247164,2.5209218894573393,0.20182796912095688,0.08815569929918253,2.2,5.498589160741207,0.9316666666666666,0.20382125367163229,30
shock_magnitude,2,-2.0,1.0,3.1364941245752704,2.7269014438087287,3.2690834446921073,3.3369107920834042,0.2753516463328794,0.17174310137898055,3.2333333333333334,4.553765651545477,0.9911111111111112,0.04683330947218549,30
shock_magnitude,2,-1.0,0.0,1.7264645750748664,0.6397665394473785,1.8838950438443094,1.0432943428703916,0.07980741034965991,0.043685165150626114,0.6666666666666666,2.248882225544018,0.9244444444444445,0.19335975509770167,30
shock_magnitude,2,-1.0,0.1,1.8682743572786895,1.270852291769928,2.1068550272495465,1.6508956907108447,0.09802829933956038,0.04435042724488919,0.4666666666666667,0.9371024061116425,0.9864444444444445,0.060679001735332,30
