experiment,hft_frac,info_lag,liquidity_setting,metric,interaction_point,interaction_boot_mean,ci_low,ci_high,p_two_sided,ci_excludes_zero,positive_point,p_holm,p_bh,significant_holm_5pct,significant_bh_5pct,metric_family,supports_original_h3,contradicts_original_h3
book_depth,0.0,5,book_volume=600,acf_abs_ret_5,0.0345625896662379,0.0344794734433492,-0.0309304932471985,0.0972973177473212,0.284,False,True,1.0,0.9024324324324324,False,False,core_clustering,False,False
book_depth,0.0,5,book_volume=600,high_vol_cluster_share,-0.1241917502787068,-0.1233918617614269,-0.2829180602006688,0.0441304347826086,0.14,False,False,1.0,0.7785365853658536,False,False,context,False,False
book_depth,0.0,5,book_volume=600,vol_persistence,0.0047729269109876,0.0046641255866675,-0.002977339392689,0.0121137170883351,0.23,False,True,1.0,0.8823529411764706,False,False,core_clustering,False,False
book_depth,0.0,5,book_volume=600,vol_ratio,-0.2002957594688359,-0.1882594882754696,-0.9212982292561588,0.5918729411667276,0.6,False,False,1.0,0.9548201438848921,False,False,context,False,False
book_depth,0.2,1,book_volume=1000,acf_abs_ret_1,0.0208473501580373,0.0192036456987905,-0.0557695279194485,0.0986111883928902,0.678,False,True,1.0,0.9718771331058023,False,False,core_clustering,False,False
book_depth,0.2,1,book_volume=1000,acf_abs_ret_5,0.0655780841805304,0.0655019199529719,-0.0054417435001728,0.1424666612861461,0.072,False,True,1.0,0.7785365853658536,False,False,core_clustering,False,False
book_depth,0.2,1,book_volume=1000,high_vol_cluster_share,0.0201783723522854,0.0231570791527313,-0.1612458193979932,0.2048467112597545,0.83,False,True,1.0,0.9762765957446808,False,False,context,False,False
book_depth,0.2,1,book_volume=1000,vol_persistence,0.0032034897858679,0.0031960813642702,-0.0051773612883291,0.0120858563010669,0.46,False,True,1.0,0.919103139013453,False,False,core_clustering,False,False
book_depth,0.2,1,book_volume=1000,vol_ratio,0.0161559218020488,0.0098371271924987,-1.0705170626701777,1.083802573788177,0.998,False,True,1.0,0.9980000000000001,False,False,context,False,False
book_depth,0.2,1,book_volume=300,acf_abs_ret_1,0.0277545392852042,0.0293738518446583,-0.0471998375947594,0.1093166998180353,0.456,False,True,1.0,0.919103139013453,False,False,core_clustering,False,False
book_depth,0.2,1,book_volume=300,acf_abs_ret_5,0.0535096468330479,0.0528900604540595,-0.0236214334534662,0.120674819589322,0.15,False,True,1.0,0.7785365853658536,False,False,core_clustering,False,False
book_depth,0.2,1,book_volume=300,high_vol_cluster_share,-0.0247491638795986,-0.0286200668896321,-0.200225752508361,0.136488294314381,0.78,False,False,1.0,0.9762765957446808,False,False,context,False,False
book_depth,0.2,1,book_volume=300,vol_persistence,0.0031094228201645,0.0029376599063727,-0.0047058749462429,0.0110004915871948,0.464,False,True,1.0,0.919103139013453,False,False,core_clustering,False,False
book_depth,0.2,1,book_volume=300,vol_ratio,-0.2742001387968438,-0.2689196271494329,-1.1090735218091576,0.5818937757327451,0.582,False,False,1.0,0.9548201438848921,False,False,context,False,False
book_depth,0.2,1,book_volume=600,acf_abs_ret_1,-0.0049327247460431,-0.0072681273070109,-0.0942147553871166,0.0766352450845415,0.872,False,False,1.0,0.9762765957446808,False,False,core_clustering,False,False
book_depth,0.2,1,book_volume=600,acf_abs_ret_5,0.0213561000119641,0.0200633477747074,-0.059022532385595,0.0938583018296516,0.624,False,True,1.0,0.9548201438848921,False,False,core_clustering,False,False
book_depth,0.2,1,book_volume=600,high_vol_cluster_share,-0.1375696767001115,-0.1396465997770345,-0.3075111482720179,0.0300055741360088,0.1,False,False,1.0,0.7785365853658536,False,False,context,False,False
book_depth,0.2,1,book_volume=600,vol_persistence,0.004054412957699,0.0041878671630324,-0.004415661272968,0.0124822054232712,0.346,False,True,1.0,0.9181395348837209,False,False,core_clustering,False,False
book_depth,0.2,1,book_volume=600,vol_ratio,-0.6481318338933839,-0.6472833823018358,-1.6548942815941088,0.3058011598700163,0.19,False,False,1.0,0.822680412371134,False,False,context,False,False
